node,capacitance_to_reference_F
P1,4.343561530751558e-12
P2,2.569418679150494e-12
P3,2.570079617295618e-12
P4,4.342689085927754e-12
S1,2.033395566644225e-12
S2,6.347972437162600e-13
S3,6.346432847210375e-13
S4,2.034686506973880e-12
