node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.771863543628034e-8,6.892057492360240e-8,5.534079215255853e-8,4.553054567324068e-8,5.506200560943159e-8,5.283045088810456e-8,4.702375572495979e-8,4.057629474562183e-8
P2,6.892057492360240e-8,8.911601835472454e-8,6.959608344222396e-8,5.534047034913305e-8,5.286177392421968e-8,5.633006002878386e-8,5.347703059685146e-8,4.705356814135181e-8
P3,5.534079215255853e-8,6.959608344222396e-8,8.911565348931557e-8,6.892005474629741e-8,4.705378074584561e-8,5.347705730821699e-8,5.632986432259568e-8,5.286116147204867e-8
P4,4.553054567324068e-8,5.534047034913305e-8,6.892005474629741e-8,8.771965017935299e-8,4.057622741913571e-8,4.702347781764603e-8,5.282997404060878e-8,5.506113570930137e-8
S1,5.506200560943159e-8,5.286177392421968e-8,4.705378074584561e-8,4.057622741913571e-8,8.089605006690021e-8,6.022950602141009e-8,4.774197279377218e-8,3.977547241275348e-8
S2,5.283045088810456e-8,5.633006002878386e-8,5.347705730821699e-8,4.702347781764603e-8,6.022950602141009e-8,8.212649919095703e-8,6.081985835009145e-8,4.774181687114909e-8
S3,4.702375572495979e-8,5.347703059685146e-8,5.632986432259568e-8,5.282997404060878e-8,4.774197279377218e-8,6.081985835009145e-8,8.212621559001266e-8,6.022945548664032e-8
S4,4.057629474562183e-8,4.705356814135181e-8,5.286116147204867e-8,5.506113570930137e-8,3.977547241275348e-8,4.774181687114909e-8,6.022945548664032e-8,8.089843846907445e-8
