node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.779762358339560e-08,6.897411933626088e-08,5.539404396483350e-08,4.558318242507337e-08,6.062272358034783e-08,5.701706221931846e-08,4.954244716223270e-08,4.215413136630780e-08
P2,6.897411933626088e-08,8.917132267293786e-08,6.964891104130493e-08,5.539400611444650e-08,5.703884593015707e-08,6.191532796469778e-08,5.767091695442696e-08,4.956330513002085e-08
P3,5.539404396483350e-08,6.964891104130493e-08,8.917132797885220e-08,6.897369287213558e-08,4.956342707642902e-08,5.767090944165592e-08,6.191521217505102e-08,5.703855705900006e-08
P4,4.558318242507337e-08,5.539400611444650e-08,6.897369287213558e-08,8.779503511928779e-08,4.215413388374207e-08,4.954227466379972e-08,5.701666492913947e-08,6.062193173932044e-08
S1,6.062272358034783e-08,5.703884593015707e-08,4.956342707642902e-08,4.215413388374207e-08,8.149765733350454e-08,6.151293486066261e-08,4.917376499263373e-08,4.105182824519485e-08
S2,5.701706221931846e-08,6.191532796469778e-08,5.767090944165592e-08,4.954227466379972e-08,6.151293486066261e-08,8.275873698510353e-08,6.212876150888775e-08,4.917364612761196e-08
S3,4.954244716223270e-08,5.767091695442696e-08,6.191521217505102e-08,5.701666492913947e-08,4.917376499263373e-08,6.212876150888775e-08,8.275805347955204e-08,6.151280494917089e-08
S4,4.215413136630780e-08,4.956330513002085e-08,5.703855705900006e-08,6.062193173932044e-08,4.105182824519485e-08,4.917364612761196e-08,6.151280494917089e-08,8.150353896754621e-08
