epoch,train_loss,val_theta_mae
0,0.009136419626884162,0.08031287044286728
10,0.00844226668899258,0.08448518812656403
20,0.008732474215018252,0.08180452883243561
30,0.008619614411145449,0.08181799575686455
40,0.008438381172406176,0.08159574121236801
50,0.008579304868665835,0.08129296824336052
60,0.008329183425909529,0.08635508641600609
70,0.008193747974776974,0.1067785993218422
80,0.008607516550303748,0.08049183338880539
90,0.00851620128378272,0.08252502977848053
100,0.008287732237173865,0.08748523145914078
110,0.008264811321472129,0.08566900715231895
120,0.008276844067343822,0.08472483977675438
130,0.008191361480082074,0.08618173375725746
140,0.008147865786061933,0.09448322281241417
150,0.00826049807559078,0.09904852882027626
160,0.00800040178000927,0.08694199472665787
170,0.008051615693451216,0.09551101922988892
180,0.008125230747585496,0.09875316172838211
190,0.008537399931810796,0.09003669396042824
200,0.008468969104190668,0.09192219004034996
210,0.008005481504369527,0.09422621503472328
220,0.007926635444164276,0.09279530495405197
230,0.008072114763005326,0.07993453368544579
240,0.00789652126453196,0.09596962854266167
250,0.007919430131247887,0.09263072907924652
260,0.00806613361540561,0.09307249262928963
270,0.008073718461673707,0.09519264101982117
280,0.008048271973772595,0.10090596973896027
290,0.008072628076964369,0.09508191049098969
300,0.007954948057886213,0.09840702265501022
310,0.007847985116920123,0.09576156735420227
320,0.007943363996067395,0.0959998108446598
330,0.007830152967168639,0.09573503956198692
340,0.007969250010016063,0.09855254366993904
350,0.007857202707479397,0.10605452209711075
360,0.007964095760447284,0.09637108445167542
370,0.007753687115230908,0.09702881425619125
380,0.00798398939271768,0.10230204090476036
390,0.007849625311791897,0.10649649426341057
400,0.007568505612046768,0.09426267445087433
410,0.007913439204761138,0.10233628004789352
420,0.008060576549420754,0.10308616235852242
430,0.007618912127024184,0.09432518109679222
440,0.008347936808907738,0.09782349318265915
450,0.007920818830219408,0.0968068465590477
460,0.007604287917880963,0.0937713235616684
470,0.007496098813135177,0.11296876147389412
480,0.007780982608286043,0.10448634624481201
490,0.007314679135257999,0.09633919224143028
500,0.008122725916715959,0.10520605742931366
510,0.007710365675544987,0.11059701070189476
520,0.008123013675988963,0.10456253588199615
530,0.007950856971244017,0.11021370068192482
540,0.007089106152610232,0.09870399162173271
550,0.007539854268543422,0.10236180201172829
560,0.006579299399163574,0.0948074534535408
570,0.006979577340340863,0.10023760795593262
580,0.006379670754540712,0.09096379205584526
590,0.006303198693785816,0.08244645223021507
600,0.006763645253765087,0.09355197846889496
610,0.008192024232509235,0.09309710562229156
620,0.0068868076778016984,0.09192277863621712
630,0.006391992598461608,0.10428782925009727
640,0.006846668392730256,0.09770378470420837
650,0.006305329540433983,0.09674876183271408
660,0.006807652612527211,0.0943150483071804
670,0.006410824600607157,0.09303999692201614
680,0.006909553097405781,0.09691280871629715
690,0.007391518214717507,0.08982354402542114
699,0.006223354236378024,0.09497927501797676
