method,graph,theta_mae,response_error,seconds
GNN direct,10.5,0.07325407862663269,0.07678725570440292,0.0
GNN regularized physics,10.5,0.054774682968854904,0.05241657793521881,2.409001350402832
nominal,10.5,0.07607691362500191,0.09506041929125786,0.0
physics mismatch,10.5,0.05147059075534344,0.05221273750066757,2.4870864152908325
