graph,seed,case,mode,y_measurement_error,response_reconstruction_error,parameter_rmse,active_parameter_mae,median_excitation_condition
10,0,0,multi_pwm,0.0007382986078038572,0.0017085015736676991,0.032719746526459745,0.080502793251477,2.40649105655533
10,0,0,degenerate_pwm,1.0857887491622438,0.0010328254746177856,0.032565279859801725,0.07955919747630014,8641111.785867894
10,0,0,single_pwm,0.937108854644022,0.001726662456216514,0.032567927982481114,0.07956540377302801,1.5957506941165044e+16
10,0,1,multi_pwm,0.0004900693858575691,0.0007315913351963711,0.03365259869524394,0.07663502111663607,2.4052784254612076
10,0,1,degenerate_pwm,0.9869197817110852,0.0005590751961629507,0.0336518596266179,0.07649776683363535,10072348.584444284
10,0,1,single_pwm,0.9365768183377224,0.0006587410667182185,0.033651229925772436,0.0765798927028111,2.3245497362415732e+16
10,0,2,multi_pwm,0.0006070042083969122,0.003984911801083072,0.025026524347613082,0.05697143574898693,2.4064078348419597
10,0,2,degenerate_pwm,0.9624827939275912,0.003337651636526564,0.025009611975963474,0.0567563910701777,10847117.996834463
10,0,2,single_pwm,0.9373821015762352,0.003490462090091713,0.025010095518994118,0.05672531099698422,1.825916974358443e+16
10,0,3,multi_pwm,0.0005286134103888882,0.00010430070151719292,0.03199880824741676,0.06229905557797806,2.4064533579678136
10,0,3,degenerate_pwm,1.0735595145129582,0.000312230077262752,0.03199918433694912,0.06214671943719703,8432718.828897774
10,0,3,single_pwm,0.936935721411312,0.00048516983432211674,0.031999626143123655,0.062120401259660535,1.4627749862022586e+16
10,0,4,multi_pwm,0.0005330088924772948,0.0007138480564864578,0.021737197869068026,0.043494693147448374,2.40490858123586
10,0,4,degenerate_pwm,1.1403503418701835,0.0003114378163794388,0.02149868079669007,0.04421197347123505,10092171.549580168
10,0,4,single_pwm,0.9365544494408136,0.00010835209949989802,0.021498048118460622,0.04417508083048538,1.788114046135764e+16
10,0,5,multi_pwm,0.0005238494691427656,0.0002685160592749491,0.03541786594902803,0.07768988112293973,2.405052905271774
10,0,5,degenerate_pwm,1.0146714677541757,0.000347436447301965,0.035396775348650246,0.07815596130740532,17792938.919885345
10,0,5,single_pwm,0.9365350967106618,7.634001202500373e-05,0.035396744211580004,0.07811736236467864,6.165487689657934e+16
10,0,6,multi_pwm,0.0005099053487151646,0.0010615021832677475,0.029224798160720385,0.06428924962775151,2.402770731316953
10,0,6,degenerate_pwm,1.1047989277662655,0.00089842291705453,0.029220889996694626,0.0643333413385339,6805613.682884239
10,0,6,single_pwm,0.9372072253726672,0.000989481273655357,0.029219405750781212,0.06429335159060136,4.210347484253554e+16
10,0,7,multi_pwm,0.0005397281776095637,0.0004974877567717268,0.03142853679904538,0.07010006481927505,2.404594255860845
10,0,7,degenerate_pwm,0.8710873064701818,7.360339755930937e-05,0.031423016663275176,0.07009944208544233,22243434.26683163
10,0,7,single_pwm,0.9367712024801933,0.0006250847451447774,0.031424803893522424,0.07009910664200655,3.688098970768406e+17
10,0,8,multi_pwm,0.0004737508464800418,0.00019511559748403343,0.021462728682968994,0.04867604077872614,2.4070720194133886
10,0,8,degenerate_pwm,1.1835681230872213,0.00019726454995808726,0.021461289658109332,0.04866855297648939,15868359.971309906
10,0,8,single_pwm,0.9365525167918053,0.0007403146491403642,0.021461032951799422,0.04867005730979405,1.5615771695878708e+16
10,0,9,multi_pwm,0.0005901884821533107,0.00046167726314095804,0.02795092919176735,0.06871513875093468,2.4039982207355237
10,0,9,degenerate_pwm,1.1395284454996402,0.00048575969911463483,0.027877460552974676,0.0687301503556631,9364088.336789213
10,0,9,single_pwm,0.936515742557685,0.0008681655389849287,0.02787745016049044,0.06872985273541102,1.3842001956673788e+16
10,0,10,multi_pwm,0.0006549480129423587,0.0008271838079943051,0.02397457775551305,0.052940709283105715,2.4064291901874553
10,0,10,degenerate_pwm,0.9569263036628972,0.0007523176628376182,0.023974521303574064,0.05294876972603206,10501027.183105085
10,0,10,single_pwm,0.9369453906707633,0.0009867184272227825,0.02397543436924178,0.052891663462561175,1.8769274798946532e+16
10,0,11,multi_pwm,0.000572682743122618,0.00024458005775433603,0.03333205208420728,0.0730193870568003,2.405674522086634
10,0,11,degenerate_pwm,0.9543222731806351,0.0001778908293878082,0.033305941887202754,0.07259438659635764,9792808.292650973
10,0,11,single_pwm,0.9367891637646666,0.000457544310769937,0.03330587932993896,0.07263500357018685,2.5178109143155016e+16
10,0,12,multi_pwm,0.0004042813104866358,0.00035111519559108016,0.036174234137073547,0.0796284266295628,2.4055474173047116
10,0,12,degenerate_pwm,0.8536954500042643,0.00015056920737382867,0.036153932076839486,0.07963974056731898,7126501.411540749
10,0,12,single_pwm,0.9367320803763871,0.0002565666855171978,0.03615413232068952,0.07963967241545676,8.592281173284986e+16
10,0,13,multi_pwm,0.0005687874202211546,0.0006209698443706743,0.024742959453644985,0.05710439576880392,2.4059447683992343
10,0,13,degenerate_pwm,1.2729134724793667,0.00026955300399877387,0.024708548317052777,0.05739734367850564,14005168.610874703
10,0,13,single_pwm,0.9364217016287066,0.00029976038859373455,0.024707899208903282,0.05741401490126623,1.4771304280556978e+16
10,0,14,multi_pwm,0.0005031681300590569,0.0011651756235201642,0.035537021124150574,0.07423099619638716,2.4048542095911474
10,0,14,degenerate_pwm,0.924560709324682,0.0011855462636456442,0.03552639441656196,0.07420750402616211,23840472.83827211
10,0,14,single_pwm,0.9372552961569186,0.0014302944579191112,0.035526768786483996,0.07412077563244764,1.0955332416909645e+17
10,0,15,multi_pwm,0.000521366612566931,0.0004735216931690497,0.028541089222434417,0.05872627799583255,2.407920870619583
10,0,15,degenerate_pwm,1.0591338307229237,0.00014953704212506585,0.028447511800211628,0.05709495041097038,18845362.911478348
10,0,15,single_pwm,0.9368281890486414,0.00047187584782747713,0.028447906727266638,0.05705192524803711,1.5585209593065096e+16
10,0,16,multi_pwm,0.0004668053639201729,9.779403329843216e-05,0.03349724132839478,0.06648976685740395,2.404444934561876
10,0,16,degenerate_pwm,0.9638339834848435,0.0001820909550924775,0.03349588251132598,0.06669607189588186,7544707.69769798
10,0,16,single_pwm,0.9368456790778088,0.0001267623893479186,0.03349529882088703,0.06664459248319486,2.023595396652135e+16
10,0,17,multi_pwm,0.0006030225079447734,0.0005185486372450007,0.027367934298605883,0.06658047216803586,2.404633078175393
10,0,17,degenerate_pwm,1.0523109267727644,7.736086099653644e-05,0.02723779398203372,0.06544241885660357,20387566.72923791
10,0,17,single_pwm,0.9368162532820327,5.803899806207269e-05,0.027238448904649,0.06538890220226817,2.087085166366811e+16
10,0,18,multi_pwm,0.0005260220430299523,0.0004194945260252548,0.03147201424275196,0.07220612047225003,2.4077707241202617
10,0,18,degenerate_pwm,1.397885427363827,0.00028162259654028335,0.03147064866042201,0.07221558676895773,22491800.988653168
10,0,18,single_pwm,0.9368417998156022,0.00011261234060567292,0.03147041537905603,0.072228976839256,1.3829459548783548e+16
10,0,19,multi_pwm,0.00047473106978081426,0.00017566214758076926,0.029588531271011468,0.06322181306506477,2.4049264464318503
10,0,19,degenerate_pwm,1.0026728971949055,0.00017544468801314214,0.029586371716398965,0.0631629955582689,10066190.083656035
10,0,19,single_pwm,0.9364667016856992,0.00012466574068469556,0.029585854132834388,0.06311921640571486,1.1844401917858862e+16
10,0,20,multi_pwm,0.0005768123072252489,0.00044621187912178634,0.04080800078826378,0.08967956191009083,2.4022859232154588
10,0,20,degenerate_pwm,1.1326177941163489,0.00011711160563109075,0.04076161844324107,0.08970719684077572,13523095.09955495
10,0,20,single_pwm,0.9367797470204783,0.0003181315144395696,0.04076158711565065,0.08975172161412612,3.5097659326240084e+16
10,0,21,multi_pwm,0.00044961500745474396,0.001309647979080839,0.035777686564265394,0.08525143034269397,2.4081132428747942
10,0,21,degenerate_pwm,1.1134955852649593,0.0012884073531474645,0.03573362892908218,0.08546519465047331,11055938.635747097
10,0,21,single_pwm,0.9373183364838793,0.0021350086609129987,0.03573086327826732,0.085417066261033,1.8782656099887692e+16
10,0,22,multi_pwm,0.000708269981670414,0.0008091205253257346,0.03954124163641613,0.08821173975993872,2.405858162274081
10,0,22,degenerate_pwm,1.0875984134649217,0.0011676460748459869,0.0395393237695796,0.08843375383192457,7690014.974271823
10,0,22,single_pwm,0.9361394517405929,0.001102091515942787,0.03954339330428524,0.08852700231125071,8.51374403065303e+16
10,0,23,multi_pwm,0.0005642861270946174,0.0005290129586111376,0.024629920637404143,0.05608199222420007,2.4032801128905055
10,0,23,degenerate_pwm,1.0482730090602246,0.00020761640140098828,0.024612002329475385,0.05615193703335636,11842114.529234722
10,0,23,single_pwm,0.9366114179140701,0.00017468993997684891,0.024612860253676403,0.056132885164340694,1.34228656165818e+16
10,0,24,multi_pwm,0.00047281910272448617,0.00047835640893729124,0.02010753925246487,0.04462253848288586,2.40219508846869
10,0,24,degenerate_pwm,1.1405034400827188,7.565580431654014e-05,0.020103886899740374,0.044460137557823076,11991116.56403539
10,0,24,single_pwm,0.936848771251115,0.000275205985815478,0.020101022753779216,0.04440296121303153,1.9137380585728816e+16
10,0,25,multi_pwm,0.0005791897177224448,0.0017898225453233832,0.033520419190026435,0.07592190851995279,2.4062113391132733
10,0,25,degenerate_pwm,0.8774271927035444,0.0017258143334939263,0.033414052881921626,0.07667128592863742,7898494.082724
10,0,25,single_pwm,0.9359562100685687,0.0019075029995205346,0.03341495476391773,0.07667188023601793,1.9328666156730778e+17
10,0,26,multi_pwm,0.0006479875311384843,0.0009599265092110778,0.0342073918544968,0.07922180002813417,2.406305500802811
10,0,26,degenerate_pwm,1.0043041348034842,0.0007485718933048118,0.03418402192638874,0.07999898927987777,5378510.34121789
10,0,26,single_pwm,0.9370730575972198,0.0010778234262009715,0.0341829354858367,0.07993227321020732,2.0501004760988816e+16
