graph,mode,index,singular_value
10,single_pwm,27,1.2632528544278523e-12
10,single_pwm,28,1.1945120588606873e-12
10,single_pwm,29,1.0858610897439595e-12
10,single_pwm,30,1.0724423314869781e-12
10,single_pwm,31,9.680047227990225e-13
10,single_pwm,32,8.790429662781682e-13
10,single_pwm,33,8.657054313928094e-13
10,single_pwm,34,7.249084242318767e-13
10,single_pwm,35,6.929276188336305e-13
10,single_pwm,36,6.474970956784654e-13
10,single_pwm,37,6.062324461467389e-13
10,single_pwm,38,5.359404315997887e-13
10,single_pwm,39,4.961794732223603e-13
10,single_pwm,40,4.386086825179602e-13
10,single_pwm,41,3.84581767900918e-13
10,single_pwm,42,3.168879217174247e-13
10,single_pwm,43,2.782833574578405e-13
10,single_pwm,44,2.0977459604870779e-13
10,single_pwm,45,1.9734984536381857e-13
10,single_pwm,46,1.5681290509518766e-13
10,single_pwm,47,1.7507639113976604e-14
10,single_pwm,48,1.425180096806623e-14
11,multi_pwm,1,5.276115931543097
11,multi_pwm,2,0.6720697351674881
11,multi_pwm,3,0.111017104669142
11,multi_pwm,4,4.165033571433579e-06
11,multi_pwm,5,1.0501750646644045e-06
11,multi_pwm,6,5.988386647905687e-07
11,multi_pwm,7,9.058328045200366e-08
11,multi_pwm,8,2.20910571206054e-08
11,multi_pwm,9,1.2154453813690998e-09
11,multi_pwm,10,3.484358896476415e-10
11,multi_pwm,11,1.159734872703924e-10
11,multi_pwm,12,1.0050387962793636e-10
11,multi_pwm,13,9.776531113600086e-11
11,multi_pwm,14,9.049680370137301e-11
11,multi_pwm,15,7.532484775625022e-11
11,multi_pwm,16,7.265169246105904e-11
11,multi_pwm,17,6.95722312218282e-11
11,multi_pwm,18,5.220021249954385e-11
11,multi_pwm,19,3.938380667569389e-11
11,multi_pwm,20,3.739214152296467e-11
11,multi_pwm,21,2.8530810346999233e-11
11,multi_pwm,22,2.8096518604246792e-11
11,multi_pwm,23,2.236482247733386e-11
11,multi_pwm,24,1.955237390275279e-11
11,multi_pwm,25,1.593824432742457e-11
11,multi_pwm,26,1.5308844514955065e-11
11,multi_pwm,27,1.4209690635158061e-11
11,multi_pwm,28,1.3137248101499417e-11
11,multi_pwm,29,1.221246883824327e-11
11,multi_pwm,30,1.2034210208280204e-11
11,multi_pwm,31,1.0074174136439823e-11
11,multi_pwm,32,9.756274667559565e-12
11,multi_pwm,33,8.833629200289649e-12
11,multi_pwm,34,7.616119900380086e-12
11,multi_pwm,35,7.444990251979963e-12
11,multi_pwm,36,6.371240378120317e-12
11,multi_pwm,37,6.072171281629736e-12
11,multi_pwm,38,5.414699188001727e-12
11,multi_pwm,39,4.9172972833833815e-12
11,multi_pwm,40,4.171802913175527e-12
11,multi_pwm,41,3.815256247672602e-12
11,multi_pwm,42,2.8795262043320396e-12
11,multi_pwm,43,2.73638415791929e-12
11,multi_pwm,44,2.3567892061859733e-12
11,multi_pwm,45,2.0191257833934615e-12
11,multi_pwm,46,1.7925890432667052e-12
11,multi_pwm,47,1.5661807668567006e-12
11,multi_pwm,48,1.1744370081615363e-12
11,degenerate_pwm,1,4.944671478899773
11,degenerate_pwm,2,1.2304181083580188
11,degenerate_pwm,3,0.23000629926604765
11,degenerate_pwm,4,3.825474825821194e-06
11,degenerate_pwm,5,1.2425231286657959e-06
11,degenerate_pwm,6,2.967383611716503e-07
11,degenerate_pwm,7,8.553815236097385e-08
11,degenerate_pwm,8,1.7097181671505267e-08
11,degenerate_pwm,9,5.965243815756197e-10
11,degenerate_pwm,10,2.46155876456592e-10
11,degenerate_pwm,11,1.69157742727477e-10
11,degenerate_pwm,12,1.3557549815181916e-10
11,degenerate_pwm,13,1.238695864622447e-10
11,degenerate_pwm,14,8.840522310558977e-11
11,degenerate_pwm,15,8.403751521930849e-11
11,degenerate_pwm,16,7.773675555251815e-11
11,degenerate_pwm,17,6.300739195039749e-11
11,degenerate_pwm,18,5.220443247693063e-11
11,degenerate_pwm,19,4.212719452585588e-11
11,degenerate_pwm,20,3.301299632934571e-11
11,degenerate_pwm,21,2.1420825838643995e-11
11,degenerate_pwm,22,1.8599431051276833e-11
11,degenerate_pwm,23,1.0721704013399601e-11
11,degenerate_pwm,24,1.0078194420451474e-11
11,degenerate_pwm,25,1.9571599643028128e-12
11,degenerate_pwm,26,1.744591888429441e-12
11,degenerate_pwm,27,1.6125743922070464e-12
11,degenerate_pwm,28,1.5471884638822613e-12
11,degenerate_pwm,29,1.420855769843505e-12
11,degenerate_pwm,30,1.272266614999891e-12
11,degenerate_pwm,31,1.170966489925049e-12
11,degenerate_pwm,32,1.155102322343543e-12
11,degenerate_pwm,33,1.0532135025406458e-12
11,degenerate_pwm,34,1.0379878807783753e-12
11,degenerate_pwm,35,9.612208102760838e-13
11,degenerate_pwm,36,8.881478952073282e-13
11,degenerate_pwm,37,7.403908215433875e-13
11,degenerate_pwm,38,6.677566309543327e-13
11,degenerate_pwm,39,5.664894837940118e-13
11,degenerate_pwm,40,4.976662229662709e-13
11,degenerate_pwm,41,4.4933247520947347e-13
11,degenerate_pwm,42,4.051966132803772e-13
11,degenerate_pwm,43,3.3071172454261537e-13
11,degenerate_pwm,44,2.2287037871782675e-13
11,degenerate_pwm,45,1.4576604004210115e-14
11,degenerate_pwm,46,8.240274813772051e-15
11,degenerate_pwm,47,4.808931401405163e-16
11,degenerate_pwm,48,4.808931401405163e-16
11,single_pwm,1,4.944671478899866
11,single_pwm,2,1.2304181083579349
11,single_pwm,3,0.2300062992661402
11,single_pwm,4,3.825474640725082e-06
11,single_pwm,5,1.2425229978282628e-06
11,single_pwm,6,2.967380915375511e-07
11,single_pwm,7,8.553826545495829e-08
11,single_pwm,8,1.7096952387094224e-08
11,single_pwm,9,5.962379185652612e-10
11,single_pwm,10,2.462854510849515e-10
11,single_pwm,11,1.689651760506055e-10
11,single_pwm,12,1.3566281724842272e-10
11,single_pwm,13,1.236105971088982e-10
11,single_pwm,14,8.825593963351628e-11
11,single_pwm,15,8.389507752587905e-11
11,single_pwm,16,7.760854791592829e-11
11,single_pwm,17,6.28948298840077e-11
11,single_pwm,18,5.2187936528412236e-11
11,single_pwm,19,4.259240046402998e-11
11,single_pwm,20,3.2539425515293076e-11
11,single_pwm,21,2.1156123373440445e-11
11,single_pwm,22,1.8652750597954127e-11
11,single_pwm,23,1.0731751299781283e-11
11,single_pwm,24,1.0192982550074943e-11
11,single_pwm,25,1.5427082882972416e-12
11,single_pwm,26,1.31673813565561e-12
11,single_pwm,27,1.2816234613942707e-12
11,single_pwm,28,1.1617995321283573e-12
11,single_pwm,29,1.1213583073668009e-12
11,single_pwm,30,1.0816863721882791e-12
11,single_pwm,31,9.372234070268049e-13
11,single_pwm,32,8.912515897743216e-13
11,single_pwm,33,8.52101404308144e-13
11,single_pwm,34,7.588828944109405e-13
11,single_pwm,35,7.043863528122016e-13
11,single_pwm,36,6.719383735139739e-13
11,single_pwm,37,5.426770400037594e-13
11,single_pwm,38,5.288546386575739e-13
11,single_pwm,39,4.703726428140212e-13
11,single_pwm,40,4.5080272158932543e-13
11,single_pwm,41,3.8309202267144875e-13
11,single_pwm,42,3.224313604699737e-13
11,single_pwm,43,2.9533550635556445e-13
11,single_pwm,44,2.5262497032905596e-13
11,single_pwm,45,1.5598797905986603e-13
11,single_pwm,46,1.3106389840566635e-13
11,single_pwm,47,1.99669812053298e-14
11,single_pwm,48,1.6302844803394083e-14
