sections_per_winding,frequency_hz,global_relative_error,Re_Y11_S,Im_Y11_S
4,1000.0,2.0561336939034556e-15,2.746131768857861,-0.5222841333773842
4,1059.2537251772887,2.0561336939034556e-15,2.7397043916274413,-0.5320398256047714
4,1122.018454301963,2.0561336939034556e-15,2.732803549560696,-0.5433772941334141
4,1188.502227437019,2.0561336939034556e-15,2.725346359905714,-0.5563068408305774
4,1258.9254117941675,2.0561336939034556e-15,2.7172445676440375,-0.5708384040907646
4,1333.521432163324,2.0561336939034556e-15,2.70840388672935,-0.586980796519331
4,1412.537544622754,2.0561336939034556e-15,2.6987233733475477,-0.604740806009842
4,1496.235656094433,2.0561336939034556e-15,2.6880948475810094,-0.6241221469710774
4,1584.893192461114,2.0561336939034556e-15,2.676402384640248,-0.6451242486242594
4,1678.8040181225606,2.0561336939034556e-15,2.663521902321433,-0.6677408683389108
4,1778.2794100389228,2.0561336939034556e-15,2.6493208775218733,-0.6919585201931939
4,1883.6490894898002,2.0561336939034556e-15,2.633658231391369,-0.7177547126699184
4,1995.2623149688789,2.0561336939034556e-15,2.6163844298142056,-0.7450959950162304
4,2113.489039836648,2.0561336939034556e-15,2.5973418530682757,-0.7739358197174235
4,2238.72113856834,2.0561336939034556e-15,2.5763654951962227,-0.8042122391783941
4,2371.373705661655,2.0561336939034556e-15,2.5532840591421984,-0.8358454684406009
4,2511.88643150958,2.0561336939034556e-15,2.527921517122426,-0.8687353628463379
4,2660.7250597988086,2.0561336939034556e-15,2.500099205822769,-0.9027588800500288
4,2818.382931264455,2.0561336939034556e-15,2.4696385214327066,-0.937767619400069
4,2985.3826189179604,2.0561336939034556e-15,2.436364268634323,-0.9735855577477803
4,3162.2776601683795,2.0561336939034556e-15,2.400108698801853,-1.010007127847489
4,3349.654391578276,2.0561336939034556e-15,2.360716244300482,-1.0467958116188605
4,3548.133892335753,2.0561336939034556e-15,2.318048916774508,-1.083683442743932
4,3758.374042884443,2.0561336939034556e-15,2.2719922873406695,-1.1203704276388162
4,3981.0717055349733,2.0561336939034556e-15,2.2224619065070854,-1.156527096371594
4,4216.965034285822,2.0561336939034556e-15,2.1694099539294527,-1.1917963808749565
4,4466.835921509631,2.0561336939034556e-15,2.112831837296717,-1.225797982376763
4,4731.512589614803,2.0561336939034556e-15,2.052772392374422,-1.2581341300000375
4,5011.872336272725,2.0561336939034556e-15,1.989331281155943,-1.28839694672899
4,5308.8444423098845,2.0561336939034556e-15,1.9226671521196383,-1.316177329303831
4,5623.413251903491,2.0561336939034556e-15,1.8530001258166529,-1.3410751209824419
4,5956.621435290103,2.0561336939034556e-15,1.7806122088979137,-1.3627102207202855
4,6309.57344480193,2.0561336939034556e-15,1.705845325169193,-1.3807341433427442
4,6683.439175686149,2.0561336939034556e-15,1.6290967828521072,-1.3948414394797801
4,7079.457843841381,2.0561336939034556e-15,1.550812165706386,-1.404780318472298
4,7498.942093324558,2.0561336939034556e-15,1.4714758278306128,-1.4103618065635324
4,7943.282347242814,2.0561336939034556e-15,1.3915993677831757,-1.411466825162524
4,8413.951416451948,2.0561336939034556e-15,1.3117086339098165,-1.4080506903278316
4,8912.509381337459,2.0561336939034556e-15,1.2323299466530235,-1.400144706050142
4,9440.608762859236,2.0561336939034556e-15,1.153976296874636,-1.387854732903925
4,10000.0,2.0561336939034556e-15,1.0771342815312783,-1.3713568364709374
4,10592.537251772897,2.0561336939034556e-15,1.002252469074767,-1.3508903305530975
4,11220.18454301963,2.0561336939034556e-15,0.929731756432048,-1.3267487045976187
4,11885.022274370189,2.0561336939034556e-15,0.8599181052159812,-1.2992690449586428
4,12589.254117941662,2.0561336939034556e-15,0.7930978495405387,-1.268820616212781
4,13335.21432163324,2.0561336939034556e-15,0.7294955747903211,-1.2357932616740053
4,14125.375446227554,2.0561336939034556e-15,0.6692743962434493,-1.2005862197669241
4,14962.356560944329,2.0561336939034556e-15,0.6125383331882883,-1.163597849164777
4,15848.93192461114,2.0561336939034556e-15,0.5593363857793738,-1.1252166275751172
4,16788.040181225588,2.0561336939034556e-15,0.5096678792264471,-1.0858136536208356
4,17782.794100389227,2.0561336939034556e-15,0.46348863835724696,-1.045736752804153
