model,graph_response_mae,node_voltage_mae,cross_edge_log_current_mae,peak_node_hit_rate,predicted_passivity_rate,parameters,train_seconds
falcon_homogeneous,0.03459401180346807,0.021725288902719814,0.07418650016188622,1.0,0.7691666483879089,57449,9.580830812454224
hft_typed,0.041373539716005325,0.021390148748954136,0.09781057635943095,1.0,0.785833328962326,86177,13.612600088119507
edge_centric_hetero,0.036845639968911804,0.02254502723614375,0.08635331938664119,1.0,0.8733332951863607,164129,17.948057413101196
