case,mode,parameter_mape_percent,observed_response_mae,full_response_mae,error_R_p_percent,error_R_s_percent,error_L_leak_percent,error_L_common_percent,error_C_long_p_percent,error_C_long_s_percent,error_C_ground_percent,error_C_ps_percent,frequency_design
0,full8,8.916230981392996,0.0012863503046615353,0.0010591797215096313,1.1419989189713986,0.7212036922302878,0.13657714489938577,27.936303317610356,24.891512105399304,5.20325790636702,3.80631675243821,7.4926780132279935,uniform6
0,selected4,3.8331097407346624,0.0007292633176397332,0.0006614032432666842,1.7457635594115395,1.6724001970181979,0.2286932800134922,4.466110631277543,4.995794227927086,0.48874696596157285,5.64600394347865,11.421365120789218,uniform6
0,lowrank4,4.338940851296874,0.0007978475986280842,0.0007065412114689845,0.9472809176327646,0.8792548871703332,0.23087694021169947,6.5836950467822675,7.166666239208586,0.2005632316837591,5.810605305217531,12.892584242468052,uniform6
1,full8,17.923634868358626,0.002463602412503142,0.0015167884509068377,3.031119199534693,2.7918476387952307,0.08842581098773561,22.12541778274596,36.96415575941754,55.34848161440495,15.839214610212826,7.20041653077006,uniform6
1,selected4,3.8804698336598626,0.0003340170938252158,0.00029434540981466414,4.685310427159695,4.455427053718264,0.10423402592854014,5.809763920622235,1.132613584350084,3.9034817450004144,4.406893677756907,6.546034234742759,uniform6
1,lowrank4,3.350890958993466,0.0003543637729888746,0.00029819288456559744,4.570930449558497,4.377428999022426,0.09476252103248761,4.067221366155183,1.6918657603414489,3.671603672911683,2.7814920416785127,5.551822861247491,uniform6
2,full8,13.343235928790806,0.0016610822877864593,0.0011841091065141272,19.644013767574986,16.347541715116254,0.12003029981553226,19.09300030637605,18.998322304789838,15.332543250829877,10.498281238472785,6.7121545473511235,uniform6
2,selected4,3.748114172045285,0.0008156175682369443,0.0006665393651807615,5.570999845776048,5.407697878391149,0.1912670106944403,5.361579935447969,3.239843102345197,5.648270642848385,1.0016950919394585,3.56355986891963,uniform6
2,lowrank4,3.6997451797254417,0.0009280695487640161,0.000736863945390682,6.367238086394789,6.16355403035973,0.207488136606504,3.4613974810711823,5.048033782169581,5.914874645882051,0.907070125753151,1.5283051495665445,uniform6
3,full8,9.6555772998307,0.0026165006688429393,0.0021227982321574256,20.338758220211737,26.337113587890414,0.021061868640537273,14.424406926842149,1.7143955558195034,6.64565967151407,3.363531851331847,4.399690716395344,uniform6
3,selected4,3.992209613122211,0.000616058945498379,0.0005002537237338871,4.980027512915397,4.068079323196693,0.0008571369678023188,6.576832278193545,6.182685904015206,6.370807805087519,0.43594951945448157,3.32243742514704,uniform6
3,lowrank4,2.9565181225338133,0.00045721875232995984,0.00037502701513972644,0.793071036900983,1.5686213772501345,0.012052387097005735,4.829392215309958,6.728087584946785,6.1533651919612575,1.1999793920743684,2.3675757947300147,uniform6
4,full8,14.258635464870022,0.0019304527077201694,0.001169534064466262,5.191087244668169,4.618827199676412,0.08326370266498184,13.430907976074025,25.31531759156451,33.60184376194377,20.386409807164974,11.441426435203327,uniform6
4,selected4,3.6860654224119562,0.00038106716895849413,0.0003016655687296345,0.8744191683281999,0.22559969959630166,0.018551638494745948,4.079997952530201,7.179447772727965,5.414634755633463,2.4392810617569483,9.256591330227826,uniform6
4,lowrank4,3.3747411883741583,0.0003774337964594596,0.00028681541914203965,2.4002839060631054,1.838144679938436,0.004561998682550694,1.5231024993074493,6.841531785886046,5.098785956098095,1.5871131320309928,7.704405548986593,uniform6
5,full8,14.328222684766487,0.0024349426419041117,0.0016312871998255428,14.233011723453238,12.905733627102833,0.2190507993284574,39.24894588447236,23.40149941211054,12.155950210605592,10.654440380049834,1.8071494410090483,uniform6
5,selected4,3.8187976851884757,0.002877111061569074,0.0016773173821925582,2.711527603393271,2.746514410084555,0.13241258297579384,6.9368064603171025,4.488364223132946,3.885876180496761,6.633632357354324,3.015247663753051,uniform6
5,lowrank4,2.8150371869349335,0.0029352010940705106,0.001697891923563356,0.3549001921979378,0.3005012202609292,0.12879748175056438,6.03004908547674,0.5438125156942974,4.038502691416634,5.900441391269751,5.223292917412614,uniform6
6,full8,5.508518614967986,0.00053688864003489,0.0004014398073945443,2.0538787726333663,1.762457713513188,0.0726077382097512,12.629106894230112,0.13304280782963085,7.561128008582574,7.911319875936318,11.944607108808947,uniform6
6,selected4,5.7134591346516554,0.00047377914675008714,0.0003708073269484385,4.704954857518295,5.43482691717081,0.02328574580258147,5.021483314043329,7.361007275367504,3.3565595292471606,9.938791960059735,9.866763478003826,uniform6
6,lowrank4,4.534733615541727,0.00038387310443296826,0.00032006435668080035,0.7937978030560955,1.3037517210303218,0.012214387627940138,6.709618041604304,6.770548760187111,3.5702587939472563,8.676713065424103,8.44096635145668,uniform6
7,full8,20.92048266379446,0.005336738577134048,0.004085493050027839,31.18258312584321,24.25097289253275,0.23122935948327594,16.957328849338538,38.843384563790664,38.75171057114603,8.7297580688384,8.416893879382814,uniform6
7,selected4,3.7211955006600332,0.0009697808512878299,0.0008036026474187918,0.5268390667332756,0.9552906777778314,0.22984113822459573,5.8874547968536195,7.0818987341792035,0.6451409023850552,7.104080095707177,7.33901859341951,uniform6
7,lowrank4,4.1988129941141965,0.0010082601190294722,0.0008369331917450212,3.014614023879225,2.6406107962001046,0.23043572726684225,6.02945501012182,7.48248448743325,0.659627860426526,6.857206666934212,6.676069380651595,uniform6
8,full8,12.734011456367124,0.004507378862912388,0.003417014123446662,30.607654999456656,23.367296488107147,0.4176107554711983,7.847553839898069,7.045391948852053,1.866248974688256,15.408471132337676,15.311863512125923,uniform6
8,selected4,5.990174399687966,0.0025618100946682557,0.001743942377959624,1.0984658272849002,0.9877893950565153,0.41260272417633637,7.5504867410559395,3.9261779867083124,4.581512312545999,14.280434117548403,15.083926093127321,uniform6
8,lowrank4,4.635333657938366,0.003337426622172004,0.00213396690424161,1.0841175778525836,1.0917682206213697,0.3827248052472587,1.2808319291457537,4.245401108681046,5.471187503719466,10.482212717273963,13.044425400965487,uniform6
9,full8,5.762080884131661,0.0028289644179941916,0.0016411157901183337,4.689313394557049,5.109707252140505,0.17643517816328114,7.4708567575578755,2.77498797050012,16.018030717553632,1.9110850259084655,7.946230776672358,uniform6
9,selected4,4.273805157033395,0.002861705400296453,0.0016725265292626597,7.163032390173996,7.847462153518681,0.1701424448562916,1.4756754690565255,2.8725396631888778,6.044200218994722,0.16091773944993948,8.456471177028124,uniform6
9,lowrank4,2.9207125000858483,0.0028357954688457373,0.0016542929777484637,0.9572262834261158,1.1242231516618295,0.17778987049541506,4.422891162197651,2.6393224136475713,5.651344019739479,0.22072152291271463,8.172181576606008,uniform6
10,full8,6.3490606803970895,0.0008625272140759255,0.0008441380228962634,6.249628550464692,4.881677753383973,0.09422320674181694,28.377477446823065,5.615456844671862,1.3778146726854956,0.8279352605558898,3.3682717078499236,uniform6
10,selected4,3.5780865495923084,0.00035181065035249894,0.00029448720052606923,4.025476726233701,3.3048964589876495,0.005818265448087612,6.622213173800806,3.686840797764168,6.41557343467648,2.688289105705377,1.8755844341222017,uniform6
10,lowrank4,3.908617534241983,0.0003646413035357016,0.00029231110230327063,2.850648376601117,2.2155620186061653,0.01803390347434597,6.04428799051806,4.573979683766161,6.472477838727563,4.6705951607786345,4.4233553014638165,uniform6
11,full8,16.692488302026543,0.00129187260079483,0.0009513614490932347,18.59409766612652,15.215774627389989,0.17750904621154362,17.660538249113287,24.168660193128332,25.61388455025957,16.13120775929119,15.97823432469192,uniform6
11,selected4,5.078394473025638,0.0004725084860468497,0.000351268695949244,7.3046281835905,6.540342827537571,0.09324913307811045,1.6363992099126312,2.2718050519840327,3.2394780286192137,7.486729752675925,12.05452359680712,uniform6
11,lowrank4,4.003019802534423,0.0004399244599015062,0.0003212576257431706,5.0638980128924205,4.579355049692058,0.08088202562459568,0.7841649128481953,1.8937382996089713,3.3515763854831127,6.323848250854869,9.946695483271162,uniform6
12,full8,12.378824789516699,0.002910484101057715,0.0022950673604896147,27.22854525322269,21.633522740567347,0.0031095941788406023,2.012871534986238,14.02806882405445,13.33427133134768,10.981993503296362,9.808215534479992,uniform6
12,selected4,5.22838976334566,0.00023084525484093034,0.00016957863734544637,4.8966781139506255,4.941845108479703,0.02569907485672207,2.9612383636478112,7.560863722587752,1.4874681376412013,9.239700496452185,10.713625089149282,uniform6
12,lowrank4,2.9940398524870586,0.00038157972377627725,0.00025280227737283775,2.180529291807587,1.9607023083629604,0.011977526994910725,0.4239256741538244,1.2210852760538016,1.139051178137973,6.751705327543234,10.263342236842178,uniform6
13,full8,13.366500721653097,0.001076119382005961,0.000818646783647666,0.18431921530184248,0.5547457759856322,0.2777024759816116,34.839387404935486,25.336008841734415,32.625730888580364,12.402357897033633,0.7117532736717891,uniform6
13,selected4,2.9563304620453312,0.0007145475733645084,0.0005977211950821458,4.309192646487792,4.5702084590341086,0.15515872135657416,0.7547344782067311,4.797687518057058,3.2918442131617986,1.0809513065117349,4.690866353546852,uniform6
13,lowrank4,2.4870382076556288,0.0006436909204623583,0.0005367039425354024,0.4882673833719098,0.5435702177804869,0.14923040031360468,1.256649929534559,5.188216306560012,3.0506518461817067,2.193572612919825,7.026146964582924,uniform6
14,full8,3.949484983357029,0.0005954385371766915,0.00046139244546742903,1.8936510829073216,2.234363959522123,0.16077103344229737,10.426207774992102,3.6482492121676646,9.55562768239413,0.062448617532862016,3.6145605038977346,uniform6
14,selected4,4.170669981628329,0.000610221064489692,0.00045724251369438527,7.158416587107719,6.5739214438399145,0.1109975285632725,1.6123277851682882,5.5683400534065175,1.5327893295791206,5.147450230246431,5.66111689511537,uniform6
14,lowrank4,2.60148207773767,0.0005504664214893625,0.0004119222668450613,1.8199233291512629,1.66506007600693,0.11002931865438104,1.0357006283722825,3.5091662441800064,1.4453725206576395,4.752658625466455,6.473945879412401,uniform6
15,full8,11.603355068721138,0.008889023048987118,0.0061436250280500135,23.480016907122092,31.53269025625045,0.08880234962026501,1.232591165356911,19.27825813072055,0.6438333162399168,13.628570165395537,2.9420782590633854,uniform6
15,selected4,5.327822485097402,0.0057273184551253796,0.0031032410095431936,8.222307661611472,7.126642412533391,0.12436815436400739,5.80773198357083,4.537532154859036,7.147072193916149,8.142009156002562,1.5149161639217645,uniform6
15,lowrank4,4.376499708776889,0.0060287038966260744,0.003262221547691993,6.799908473637273,5.891030967919719,0.13367662435465055,7.999774078384192,0.4577209265430593,7.436411268145182,5.997705014953669,0.29577031627736616,uniform6
16,full8,7.0503161502698415,0.0006493934193641125,0.00039669873146832695,0.5043316909700835,0.28672645510599004,0.05948414686623993,5.041633784868438,10.953842639065648,18.93004945313446,10.813768608714259,9.81269242343361,uniform6
16,selected4,3.6638437831009747,0.0002007266843162181,0.0001492256134190039,0.7867036654704895,0.5947124446170404,0.043859965632153664,5.165433630755412,0.8696325800222615,7.443787757410458,5.009226703976366,9.397393516923614,uniform6
16,lowrank4,3.725392109510897,0.0002732143368640205,0.0001840698419114614,1.5051619823540419,1.3578771992286853,0.03422628360107982,3.2571164149034715,4.744900788780293,7.1761075067388935,2.98597944766561,8.741767252815102,uniform6
17,full8,7.7725919289184935,0.00169590300269694,0.0012733911711154712,9.004976790500297,7.576399663540945,0.16717372837989908,16.32505920236277,12.22182881818542,12.757673270759696,0.05041094346942554,4.077213014149494,uniform6
17,selected4,2.5553897065111073,0.0016553017641427422,0.0011958102355674209,4.783375562387038,4.069260081277415,0.2075921147988713,2.8744361937883545,4.223776520333288,0.24003253327582463,2.409845180721226,1.634799465506842,uniform6
17,lowrank4,1.9040741509516361,0.0016544178427980972,0.0011974418647691303,3.7663440594625452,3.1327444938350824,0.21087823139812611,2.3204606354705337,2.4198624443055206,0.31421266348096166,2.5330953747893847,0.5349953048709333,uniform6
18,full8,18.464066312116426,0.0032807012607315267,0.002617962494496796,31.38103658304663,23.79747747318911,0.03614538212310947,22.445185775618004,27.493488606067153,24.802656731576533,5.369712559494588,12.38682738581629,uniform6
18,selected4,5.315545632069179,0.0008004595210141834,0.0005701869184638336,1.6245208070886141,1.1095385234665134,0.14324184953760088,4.133025720693373,5.009379115847635,5.074469926328817,7.902164060376215,17.52802505321467,uniform6
18,lowrank4,5.58928411829638,0.0007963482795686058,0.0005726728332363242,2.3476765771127672,1.848732128332442,0.1433399272325664,1.7835831883729059,5.865023827029114,4.78651218210473,8.458084304067192,19.48132081211933,uniform6
19,full8,13.839740618539064,0.005790956593864674,0.0038947785096899307,28.466407702919216,22.120387665049446,0.08798638742988363,1.3556944744466781,18.766385085565474,32.24674099832703,5.6719511635384245,2.002371471036357,uniform6
19,selected4,4.218677814812094,0.0035061448705525546,0.001946068043819838,5.6873775882437805,5.341143812331528,0.10663036093032652,7.8503861745184755,7.341789022838885,5.492392374262522,0.011966801138263428,1.9177363842329709,uniform6
19,lowrank4,2.8011746617286337,0.0034693824341255914,0.0019191516078409497,0.23716070294454994,0.19424174702558084,0.10894977653961302,6.148806055001099,8.128805377880777,5.675149853404838,0.22194903882843953,1.6943347422041732,uniform6
20,full8,8.314136587719833,0.0012295624430414419,0.0010363680527654602,11.096595323305802,12.354918424783179,0.009656175889960483,26.506868445405317,6.433696089210894,5.545144233406463,0.7940852503647622,3.772128759392279,uniform6
20,selected4,3.0209357016370437,0.0006234732135680977,0.0004673943754846582,0.6335272291421057,0.2130363843800387,0.07530695882675964,5.741880949282008,7.3646040542694635,2.6755252718044797,0.5499560453556596,6.9136487200358365,uniform6
20,lowrank4,4.1745382090382215,0.0006520745881863385,0.000495334318292138,2.706643955790766,2.3834002413855027,0.0729032474671154,8.171874872514884,9.33604486668196,2.339428405263555,0.46099194878876926,7.92501813441322,uniform6
21,full8,6.4733084627822475,0.0006528256549438927,0.0004887538993714084,3.5012665925469255,3.6931526827829297,0.0037281856308912786,13.66771213262078,1.257807253975185,6.635189564286382,7.274948706405615,15.752662584009268,uniform6
21,selected4,6.334429613474981,0.0006415898202563361,0.00045905235414399277,5.8930190590744,5.808412440150934,0.026794588893663818,4.789860153135672,7.942731918006207,1.7912600157457548,10.047212619997058,14.376146112796162,uniform6
21,lowrank4,4.790440971930465,0.0005817510269545011,0.0004312999190878497,4.46862486234485,4.178997778858462,0.04093105440413636,2.3461077575512412,4.642505495602434,1.4663356665769456,8.243517384618315,12.936507775487339,uniform6
22,full8,4.824572819574541,0.0016775481109008743,0.0013576471902185562,7.3844444343609705,5.236125999891639,0.13497736493217616,5.758943436923314,6.513522184969323,10.20446806466474,2.935970741120819,0.42813032973334497,uniform6
22,selected4,3.954508131935092,0.001010583898431872,0.0008091358318417948,4.059407823099548,6.092498266550805,0.13696274529375607,4.315966744153998,7.60963778861341,5.726400322606972,3.4034674890880745,0.29172387607416805,uniform6
22,lowrank4,4.4653293554289935,0.0009970323110027747,0.000797081539930167,5.441862323193769,7.620599401374228,0.13366999710331395,5.214500448904569,7.845740099230314,5.631350019356807,3.4346427852969708,0.40026976897197253,uniform6
23,full8,7.687446203471266,0.0006056585513718235,0.0004953990409740543,7.789184291786977,8.495038952814959,0.09541618625320547,7.12799983022987,13.40273556440299,2.0393801052001392,11.772647796650704,10.77716690043129,uniform6
23,selected4,4.16614374952364,0.0007958674401108238,0.0005458927015402808,4.231299950791579,4.601408666921114,0.05540208617305087,2.2666836850674055,3.639964328199663,6.447964136043371,2.882340723709187,9.204086419283753,uniform6
23,lowrank4,3.336603642775904,0.0007101805224388244,0.0004735252070726795,1.2418700507993208,1.0232157229282168,0.04564888832335745,3.790502069807078,3.7509406885737118,6.6241483184411365,2.125387675923296,8.091115727411113,uniform6
24,full8,5.031829322224761,0.0006173022359545079,0.0005437199339585644,5.112133542597041,5.393771090979782,0.08154044106315483,11.371369388017872,0.21840133579973386,15.617072632783247,0.8845137830436833,1.575832363513574,uniform6
24,selected4,3.287947570856591,0.00043664064939120175,0.000370378215345351,4.333410638034518,4.364370369723836,0.13526023710030977,5.007454488589547,3.601864078296968,4.0778439036508125,0.8157761436273558,3.9676007078293773,uniform6
24,lowrank4,3.406130062355228,0.00044944411565626523,0.0003744649790623943,3.8492295438774082,3.8987095371528113,0.13404554476006414,3.6257533100652273,6.5311561099631765,4.251696801481075,0.17659488424599523,4.781854767296068,uniform6
