node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.803404991657970e-08,7.061968826976338e-08,5.729115755000742e-08,4.775530504347166e-08,5.998796418827050e-08,5.409364616016567e-08,4.701358861031759e-08,4.030496982096769e-08
P2,7.061968826976338e-08,8.920396257970463e-08,7.118966304891225e-08,5.729104108324860e-08,6.088857723124365e-08,6.078656653772475e-08,5.435543969855576e-08,4.674021944706746e-08
P3,5.729115755000742e-08,7.118966304891225e-08,8.920399324568016e-08,7.061933752402496e-08,5.500908919867442e-08,6.113217069329208e-08,6.049612704348749e-08,5.352796579308744e-08
P4,4.775530504347166e-08,5.729104108324860e-08,7.061933752402496e-08,8.802810865905281e-08,4.762025834104161e-08,5.470062588424589e-08,6.028671767796556e-08,5.910606720844454e-08
S1,5.998796418827050e-08,6.088857723124365e-08,5.500908919867442e-08,4.762025834104161e-08,8.242145535611116e-08,6.355331319874557e-08,5.092118063581037e-08,4.268437179598690e-08
S2,5.409364616016567e-08,6.078656653772475e-08,6.113217069329208e-08,5.470062588424589e-08,6.355331319874557e-08,8.291891820471112e-08,6.350799413308684e-08,5.035510431704767e-08
S3,4.701358861031759e-08,5.435543969855576e-08,6.049612704348749e-08,6.028671767796556e-08,5.092118063581037e-08,6.350799413308684e-08,8.235291318504417e-08,6.241685784127189e-08
S4,4.030496982096769e-08,4.674021944706746e-08,5.352796579308744e-08,5.910606720844454e-08,4.268437179598690e-08,5.035510431704767e-08,6.241685784127189e-08,8.069672018146854e-08
