epoch,train_loss,val_score
0,2.408469185233116,0.3289824072690859
10,2.3048828840255737,0.3317392412588154
20,2.305328294634819,0.3307803535598177
30,2.3015189319849014,0.3229917335972968
40,2.299420639872551,0.3200730033958815
50,2.2991138994693756,0.3214763793621403
60,2.289370760321617,0.32283227082958116
70,2.2934723496437073,0.3235166396022009
80,2.286297559738159,0.323944795941855
90,2.2838683426380157,0.3260995085523924
100,2.2750758230686188,0.32951005635045433
110,2.2757745385169983,0.3201617034379877
120,2.2648474276065826,0.32112974957247864
130,2.254538416862488,0.31904470462533835
140,2.2473047226667404,0.3198852973550099
150,2.244672879576683,0.3168161591779644
160,2.2341421246528625,0.3200756667945087
170,2.2269658148288727,0.32060765343148717
180,2.209258407354355,0.32326574446287093
190,2.202405720949173,0.3270624959366512
200,2.1850967407226562,0.32410906814623713
210,2.174932360649109,0.3322228020947519
219,2.1626118272542953,0.3239307342055089
