epoch,train_loss,val_loss
1,0.6963414698839188,0.3782758116722107
2,0.4212732702493668,0.4677605926990509
3,0.3891439616680145,0.36979658901691437
4,0.3184538632631302,0.3606066107749939
5,0.29671159386634827,0.2735344469547272
6,0.265582962334156,0.2717909812927246
7,0.2634043529629707,0.2937322109937668
8,0.24737901240587234,0.2749222666025162
9,0.22394733726978303,0.22834356129169464
10,0.20538747012615205,0.24812813103199005
11,0.19783049821853638,0.24501383304595947
12,0.18620132207870482,0.2481292262673378
13,0.17236877083778382,0.2587917149066925
14,0.1631867691874504,0.28393813967704773
15,0.15996642112731935,0.2574576288461685
16,0.14377271682024,0.266732856631279
17,0.12973162531852722,0.2534647434949875
18,0.12268895432353019,0.2784823030233383
19,0.1240557461977005,0.26824578642845154
20,0.11251130923628808,0.29388976097106934
21,0.11687807217240334,0.3116602450609207
22,0.11417467296123504,0.31407633423805237
23,0.1095564991235733,0.3499200642108917
24,0.10258035510778427,0.30292588472366333
25,0.08733007609844208,0.3202888071537018
26,0.07978885993361473,0.3073670566082001
27,0.06781292855739593,0.3177996873855591
28,0.06277944445610047,0.32732129096984863
29,0.06266955733299255,0.32299113273620605
30,0.06154923662543297,0.30976898968219757
31,0.055958991125226024,0.3087526857852936
32,0.047638528794050214,0.31092603504657745
33,0.04351683519780636,0.33291248977184296
34,0.04005002118647098,0.3195357322692871
35,0.037802857160568235,0.3301071226596832
36,0.03907662369310856,0.3300701230764389
37,0.03409246783703566,0.3416905254125595
