state_id,split,repeat,true_ls_uh,true_cps_pf,physical_ls_uh,physical_cps_pf,physical_cps_error_pct,physical_fit_cost,load_w,temperature_c,phase_deg,cpg_pf,csg_pf,skin_coeff,leakage_dispersion,tan_delta,mode_enabled,noise_rel
0,train,0,85.33810650743544,46.215008188039064,84.34469420509744,44.582623166064316,-3.532153484281386,0.13859816891870733,322.8833479806781,50.968513512052596,41.19306333363056,26.7365112574771,61.046945997513824,0.047667803037911655,0.019232976771891116,0.03824011068791151,1,0.0010122797179035843
0,train,1,85.33810650743544,46.215008188039064,84.32310375266576,44.594457377945886,-3.5065466255020468,0.13863640754249168,322.8833479806781,50.968513512052596,41.19306333363056,26.7365112574771,61.046945997513824,0.047667803037911655,0.019232976771891116,0.03824011068791151,1,0.0010122797179035843
0,train,2,85.33810650743544,46.215008188039064,84.34507402505936,44.58829201144479,-3.5198872409056063,0.13858722292006784,322.8833479806781,50.968513512052596,41.19306333363056,26.7365112574771,61.046945997513824,0.047667803037911655,0.019232976771891116,0.03824011068791151,1,0.0010122797179035843
0,train,3,85.33810650743544,46.215008188039064,84.34746463670275,44.581990069103846,-3.5335233790088547,0.13863751777705224,322.8833479806781,50.968513512052596,41.19306333363056,26.7365112574771,61.046945997513824,0.047667803037911655,0.019232976771891116,0.03824011068791151,1,0.0010122797179035843
1,train,0,109.78651923127472,30.4261476341635,111.64341864562908,29.517651047022095,-2.9859073783015297,0.04403741021033043,927.0447634160519,57.5448848772794,14.858214154839516,38.362291171215475,109.93846129626036,0.12088473692536354,0.0013435051590204238,0.01842829253524542,0,0.0005910449243150652
1,train,1,109.78651923127472,30.4261476341635,111.65483373152472,29.5148014536397,-2.995272985202081,0.04398027056953069,927.0447634160519,57.5448848772794,14.858214154839516,38.362291171215475,109.93846129626036,0.12088473692536354,0.0013435051590204238,0.01842829253524542,0,0.0005910449243150652
1,train,2,109.78651923127472,30.4261476341635,111.64769064442847,29.515202599317327,-2.993954561054372,0.043981690285690205,927.0447634160519,57.5448848772794,14.858214154839516,38.362291171215475,109.93846129626036,0.12088473692536354,0.0013435051590204238,0.01842829253524542,0,0.0005910449243150652
1,train,3,109.78651923127472,30.4261476341635,111.65273612558758,29.515437394356304,-2.993182872696711,0.04398236275109071,927.0447634160519,57.5448848772794,14.858214154839516,38.362291171215475,109.93846129626036,0.12088473692536354,0.0013435051590204238,0.01842829253524542,0,0.0005910449243150652
2,train,0,93.99331213906407,44.257963409647346,95.82096055202881,42.08502258419591,-4.909717162850247,0.09151542818632101,482.0655851159245,81.84470138512552,17.48979862034321,10.577811226248741,71.40283696353434,0.14358895763754845,0.009522784128785133,0.007095589824020863,1,0.0007738867551088333
2,train,1,93.99331213906407,44.257963409647346,95.81552779157929,42.088945861767584,-4.900852594150232,0.0915540294890371,482.0655851159245,81.84470138512552,17.48979862034321,10.577811226248741,71.40283696353434,0.14358895763754845,0.009522784128785133,0.007095589824020863,1,0.0007738867551088333
2,train,2,93.99331213906407,44.257963409647346,95.80502369094297,42.094427136274284,-4.888467761942822,0.09148078925988196,482.0655851159245,81.84470138512552,17.48979862034321,10.577811226248741,71.40283696353434,0.14358895763754845,0.009522784128785133,0.007095589824020863,1,0.0007738867551088333
2,train,3,93.99331213906407,44.257963409647346,95.81533926762019,42.08888055189666,-4.9010001605222415,0.0915932339630109,482.0655851159245,81.84470138512552,17.48979862034321,10.577811226248741,71.40283696353434,0.14358895763754845,0.009522784128785133,0.007095589824020863,1,0.0007738867551088333
3,train,0,98.92337593063712,28.17159485816956,97.21075805054882,27.856518018073725,-1.1184203155060715,0.1499303977275227,767.8403117228299,39.610107582993805,38.55267550051212,43.29287794418633,22.511308924295008,0.02535850005224347,0.012419655062258244,0.026897642351686957,1,0.0003513131905347109
