node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.376109769349773e-11,-7.268742681376851e-12,-1.034931712604557e-13,-1.496923350869638e-14,-1.398389267887424e-12,-4.316997715333701e-13,-1.002061701362961e-13,-3.429675311390531e-14
P2,-7.268742681376851e-12,1.867835989197651e-11,-7.212524674488257e-12,-1.035109882270719e-13,-4.115152612452114e-13,-6.470628743108377e-13,-3.484135947456561e-13,-8.544955174086258e-14
P3,-1.034931712604556e-13,-7.212524674488262e-12,1.870861792652887e-11,-7.296739571098264e-12,-8.537446084811307e-14,-3.483091076901577e-13,-6.471741985916054e-13,-4.118514062012702e-13
P4,-1.496923350869638e-14,-1.035109882270720e-13,-7.296739571098263e-12,1.378650557289624e-11,-3.425102828387712e-14,-1.001041921586441e-13,-4.314768595964118e-13,-1.397080985869393e-12
S1,-1.398389267887423e-12,-4.115152612452116e-13,-8.537446084811309e-14,-3.425102828387712e-14,1.451049263561906e-11,-9.737036329544838e-12,-4.782552597101929e-13,-2.983866518025617e-13
S2,-4.316997715333702e-13,-6.470628743108381e-13,-3.483091076901577e-13,-1.001041921586441e-13,-9.737036329544837e-12,2.187261403662972e-11,-9.460327085770266e-12,-4.783620615206874e-13
S3,-1.002061701362962e-13,-3.484135947456563e-13,-6.471741985916055e-13,-4.314768595964118e-13,-4.782552597101931e-13,-9.460327085770266e-12,2.189663665837033e-11,-9.760932868725389e-12
S4,-3.429675311390531e-14,-8.544955174086260e-14,-4.118514062012703e-13,-1.397080985869393e-12,-2.983866518025618e-13,-4.783620615206872e-13,-9.760932868725393e-12,1.453396963788394e-11
