node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.402121878349444e-11,-7.145540282522909e-12,-6.369026289875099e-14,-5.887680802540689e-15,-1.904314478642407e-12,-4.882430411889304e-13,-6.761625582853909e-14,-2.414173818442544e-14
P2,-7.145540282522909e-12,1.883068278547459e-11,-7.088227240950041e-12,-6.367388953158718e-14,-4.608530303862081e-13,-1.028810510092142e-12,-4.219391919941050e-13,-5.026714570588402e-14
P3,-6.369026289875099e-14,-7.088227240950041e-12,1.881784133345328e-11,-7.133812592190946e-12,-5.027951396224952e-14,-4.219311477534779e-13,-1.028658620284905e-12,-4.607315379891177e-13
P4,-5.887680802540689e-15,-6.367388953158718e-14,-7.133812592190946e-12,1.400803287459898e-11,-2.412988359958588e-14,-6.764172282106822e-14,-4.882691413527466e-13,-1.904033837192196e-12
S1,-1.904314478642407e-12,-4.608530303862081e-13,-5.027951396224952e-14,-2.412988359958588e-14,1.435812045052041e-11,-9.217406118346385e-12,-4.078992763407126e-13,-2.644721507208782e-13
S2,-4.882430411889304e-13,-1.028810510092142e-12,-4.219311477534779e-13,-6.764172282106822e-14,-9.217406118346385e-12,2.123706970891608e-11,-8.968556939275073e-12,-4.079498029236997e-13
S3,-6.761625582853909e-14,-4.219391919941050e-13,-1.028658620284905e-12,-4.882691413527466e-13,-4.078992763407126e-13,-8.968556939275073e-12,2.122628528868050e-11,-9.206924484038127e-12
S4,-2.414173818442544e-14,-5.026714570588402e-14,-4.607315379891177e-13,-1.904033837192196e-12,-2.644721507208782e-13,-4.079498029236997e-13,-9.206924484038127e-12,1.434776448743698e-11
