node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.402121878349438e-11,-7.145540282522911e-12,-6.369026289875066e-14,-5.887680802502689e-15,-1.904314478642498e-12,-4.882430411889681e-13,-6.761625582850424e-14,-2.414173818446872e-14
P2,-7.145540282522912e-12,1.883068278547454e-11,-7.088227240950034e-12,-6.367388953154092e-14,-4.608530303861644e-13,-1.028810510092103e-12,-4.219391919940691e-13,-5.026714570588526e-14
P3,-6.369026289875069e-14,-7.088227240950033e-12,1.881784133345330e-11,-7.133812592190935e-12,-5.027951396227340e-14,-4.219311477534746e-13,-1.028658620284893e-12,-4.607315379891387e-13
P4,-5.887680802502691e-15,-6.367388953154094e-14,-7.133812592190936e-12,1.400803287459892e-11,-2.412988359959197e-14,-6.764172282106088e-14,-4.882691413526630e-13,-1.904033837192234e-12
S1,-1.904314478642498e-12,-4.608530303861642e-13,-5.027951396227337e-14,-2.412988359959195e-14,1.435812045051990e-11,-9.217406118346577e-12,-4.078992763408000e-13,-2.644721507211775e-13
S2,-4.882430411889681e-13,-1.028810510092103e-12,-4.219311477534746e-13,-6.764172282106089e-14,-9.217406118346574e-12,2.123706970891599e-11,-8.968556939275106e-12,-4.079498029238433e-13
S3,-6.761625582850425e-14,-4.219391919940691e-13,-1.028658620284894e-12,-4.882691413526628e-13,-4.078992763408002e-13,-8.968556939275107e-12,2.122628528868041e-11,-9.206924484038270e-12
S4,-2.414173818446873e-14,-5.026714570588526e-14,-4.607315379891388e-13,-1.904033837192233e-12,-2.644721507211776e-13,-4.079498029238434e-13,-9.206924484038270e-12,1.434776448743682e-11
