node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.779159096345526e-08,6.897412238788424e-08,5.539395443598401e-08,4.558313166397942e-08,5.511510430035650e-08,5.288174762364417e-08,4.707317267551555e-08,4.062456883324460e-08
P2,6.897412238788424e-08,8.917016450959042e-08,6.964921299236432e-08,5.539401357807763e-08,5.291225932685703e-08,5.637944328937617e-08,5.352597365546811e-08,4.710258834478411e-08
P3,5.539395443598401e-08,6.964921299236432e-08,8.916997582114279e-08,6.897399108167937e-08,4.710259613335209e-08,5.352600246394418e-08,5.637943070202645e-08,5.291217855657385e-08
P4,4.558313166397942e-08,5.539401357807763e-08,6.897399108167937e-08,8.779488902951062e-08,4.062456514227821e-08,4.707311418565852e-08,5.288157363916511e-08,5.511490914597864e-08
S1,5.511510430035650e-08,5.291225932685703e-08,4.710259613335209e-08,4.062456514227821e-08,8.095913980127869e-08,6.027479200196082e-08,4.778710709878644e-08,3.981975995017695e-08
S2,5.288174762364417e-08,5.637944328937617e-08,5.352600246394418e-08,4.707311418565852e-08,6.027479200196082e-08,8.217360815705174e-08,6.086547346510445e-08,4.778708398938614e-08
S3,4.707317267551555e-08,5.352597365546811e-08,5.637943070202645e-08,5.288157363916511e-08,4.778710709878644e-08,6.086547346510445e-08,8.217346414548191e-08,6.027431585523620e-08
S4,4.062456883324460e-08,4.710258834478411e-08,5.291217855657385e-08,5.511490914597864e-08,3.981975995017695e-08,4.778708398938614e-08,6.027431585523620e-08,8.095940093967717e-08
