node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.867254188806060e-03,8.607369899258831e-04,1.261356544456472e-03,1.610437268803283e-03,5.080530413802437e-03,6.901306039149653e-04,6.208647930484270e-04,3.544810769350327e-04
P2,8.607369899258831e-04,1.647602139432353e-03,3.664133954816615e-03,6.085075016687588e-04,2.407209746250727e-04,4.121700626688476e-05,9.400675380422865e-05,1.758035343502995e-03
P3,1.261356544456472e-03,3.664133954816615e-03,3.378068032072045e-03,4.934101845600961e-03,4.436699757938334e-04,3.537975101848082e-04,3.686252925400052e-04,1.037865268868567e-03
P4,1.610437268803283e-03,6.085075016687588e-04,4.934101845600961e-03,4.014516035929015e-03,1.913594033599888e-04,1.483596516057882e-03,6.108943538714678e-04,4.745185440131675e-03
S1,5.080530413802437e-03,2.407209746250727e-04,4.436699757938334e-04,1.913594033599888e-04,2.409449552547506e-03,1.991252808731728e-03,1.407864841616715e-03,4.060600506902819e-03
S2,6.901306039149653e-04,4.121700626688476e-05,3.537975101848082e-04,1.483596516057882e-03,1.991252808731728e-03,1.635093060449465e-03,1.889290571071953e-03,1.493630000297538e-03
S3,6.208647930484270e-04,9.400675380422865e-05,3.686252925400052e-04,6.108943538714678e-04,1.407864841616715e-03,1.889290571071953e-03,2.769453571445466e-03,4.552768525842389e-03
S4,3.544810769350327e-04,1.758035343502995e-03,1.037865268868567e-03,4.745185440131675e-03,4.060600506902819e-03,1.493630000297538e-03,4.552768525842389e-03,3.984909663931270e-03
