node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.310081452479634e-04,7.763413643850673e-04,9.597127333981102e-04,1.153628301065198e-03,9.634145049528461e-04,9.700272370866034e-04,1.049790097990262e-03,1.188297845595284e-03
P2,7.763413643850673e-04,6.072227764035470e-04,7.628162309062242e-04,9.665887247754177e-04,9.541343212262684e-04,8.759089787186274e-04,9.143796044086135e-04,1.040711458858163e-03
P3,9.597127333981102e-04,7.628162309062242e-04,6.091998043846053e-04,7.819807805248934e-04,1.036362992993021e-03,9.144182915609643e-04,8.791571467391092e-04,9.641841616984041e-04
P4,1.153628301065198e-03,9.665887247754177e-04,7.819807805248934e-04,8.569843984009581e-04,1.189864383119139e-03,1.054452607845770e-03,9.757576222748217e-04,9.756604430725108e-04
S1,9.634145049528461e-04,9.541343212262684e-04,1.036362992993021e-03,1.189864383119139e-03,7.792787143409408e-04,7.513253724583678e-04,9.444870751634621e-04,1.112200010218828e-03
S2,9.700272370866034e-04,8.759089787186274e-04,9.144182915609643e-04,1.054452607845770e-03,7.513253724583678e-04,5.732858414183743e-04,7.494415539074057e-04,9.472668021992263e-04
S3,1.049790097990262e-03,9.143796044086135e-04,8.791571467391092e-04,9.757576222748217e-04,9.444870751634621e-04,7.494415539074057e-04,5.749855620739244e-04,7.442700586370183e-04
S4,1.188297845595284e-03,1.040711458858163e-03,9.641841616984041e-04,9.756604430725108e-04,1.112200010218828e-03,9.472668021992263e-04,7.442700586370183e-04,7.530005150130913e-04
