node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.771863543628035e-08,6.892057492360237e-08,5.534079215255852e-08,4.553054567324067e-08,5.506200560943155e-08,5.283045088810449e-08,4.702375572495981e-08,4.057629474562182e-08
P2,6.892057492360237e-08,8.911601835472455e-08,6.959608344222390e-08,5.534047034913300e-08,5.286177392421966e-08,5.633006002878385e-08,5.347703059685144e-08,4.705356814135181e-08
P3,5.534079215255852e-08,6.959608344222390e-08,8.911565348931557e-08,6.892005474629741e-08,4.705378074584559e-08,5.347705730821701e-08,5.632986432259568e-08,5.286116147204864e-08
P4,4.553054567324067e-08,5.534047034913300e-08,6.892005474629741e-08,8.771965017935299e-08,4.057622741913571e-08,4.702347781764603e-08,5.282997404060881e-08,5.506113570930137e-08
S1,5.506200560943155e-08,5.286177392421966e-08,4.705378074584559e-08,4.057622741913571e-08,8.089605006690021e-08,6.022950602141009e-08,4.774197279377218e-08,3.977547241275345e-08
S2,5.283045088810449e-08,5.633006002878385e-08,5.347705730821701e-08,4.702347781764603e-08,6.022950602141009e-08,8.212649919095704e-08,6.081985835009145e-08,4.774181687114909e-08
S3,4.702375572495981e-08,5.347703059685144e-08,5.632986432259568e-08,5.282997404060881e-08,4.774197279377218e-08,6.081985835009145e-08,8.212621559001266e-08,6.022945548664032e-08
S4,4.057629474562182e-08,4.705356814135181e-08,5.286116147204864e-08,5.506113570930137e-08,3.977547241275345e-08,4.774181687114909e-08,6.022945548664032e-08,8.089843846907445e-08
