target_mode,model,graph_response_mae,node_voltage_mae,cross_edge_log_current_mae,peak_node_hit_rate,parameters,train_seconds
absolute,falcon_homogeneous,0.03459401180346807,0.021725288902719814,0.07418650016188622,1.0,57449,9.580830812454224
absolute,hft_typed,0.041373539716005325,0.021390148748954136,0.09781057635943095,1.0,86177,13.612600088119507
absolute,edge_centric_hetero,0.036845639968911804,0.02254502723614375,0.08635331938664119,1.0,164129,17.948057413101196
residual,falcon_homogeneous,0.028446125487486523,0.0045152016294499235,0.01210553509493669,0.12083333544433117,57449,7.978951692581177
residual,hft_typed,0.027901367594798405,0.004327858953426282,0.013365775346755981,0.13333333935588598,86177,11.188770055770874
residual,edge_centric_hetero,0.027068902427951496,0.004263391873488824,0.01230471208691597,0.12499999906867743,164129,16.055272340774536
