node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.367037065433210e-11,-7.297408768249052e-12,-1.064857797992305e-13,-1.516415015036696e-14,-1.357139984884446e-12,-2.483803451185224e-13,-5.916568134867136e-14,-3.465559318250159e-14
P2,-7.297408768249050e-12,1.869004782939830e-11,-7.217508618057320e-12,-1.026366496114856e-13,-6.787087828382815e-13,-5.556344805761349e-13,-1.764382212998085e-13,-3.775077332592346e-14
P3,-1.064857797992305e-13,-7.217508618057321e-12,1.871313555813126e-11,-7.289199091425445e-12,-1.954294267583270e-13,-5.496259131158834e-13,-5.518924786198792e-13,-2.090200466265967e-13
P4,-1.516415015036697e-14,-1.026366496114859e-13,-7.289199091425445e-12,1.384634296650271e-11,-4.868722435471916e-14,-2.021902940850407e-13,-6.724459869438303e-13,-1.235827899228626e-12
S1,-1.357139984884441e-12,-6.787087828382817e-13,-1.954294267583263e-13,-4.868722435471903e-14,1.461221547079180e-11,-9.722625487224362e-12,-4.743775064360823e-13,-2.986567054797522e-13
S2,-2.483803451185223e-13,-5.556344805761366e-13,-5.496259131158837e-13,-2.021902940850407e-13,-9.722625487224373e-12,2.187370358962699e-11,-9.460795165774136e-12,-4.846338818269104e-13
S3,-5.916568134867136e-14,-1.764382212998092e-13,-5.518924786198793e-13,-6.724459869438305e-13,-4.743775064360830e-13,-9.460795165774136e-12,2.189577924416194e-11,-9.791742873797866e-12
S4,-3.465559318250160e-14,-3.775077332592366e-14,-2.090200466265967e-13,-1.235827899228626e-12,-2.986567054797515e-13,-4.846338818269104e-13,-9.791742873797862e-12,1.440665582451796e-11
