epoch,train_loss,val_mse
0,3.392223870754242,0.008013238199055195
5,0.3291808694601059,0.005623661447316408
10,0.33587983548641204,0.005652022548019886
15,0.3319880306720734,0.005681411828845739
20,0.33659888803958893,0.005633618216961622
25,0.3312670081853867,0.0056274100206792355
30,0.33172996938228605,0.005628485232591629
35,0.3300043374300003,0.0056711710058152676
40,0.3296549469232559,0.005611519794911146
45,0.3355153977870941,0.0056142620742321014
50,0.33396410048007963,0.005664978176355362
55,0.33373541533946993,0.005611956585198641
59,0.3302617400884628,0.005610969383269548
