epoch,train_loss,val_loss
1,430.1245450337728,16.828070216708714
2,8.116352574030559,3.892590469784207
3,3.4358471234639487,3.0684559212790594
4,2.8965893904368083,2.85677252875434
5,2.8368810772895814,2.4167166153589883
6,2.4658233483632404,2.405996706750658
7,2.2941962321599325,2.0645016696718006
8,2.170076541105906,1.9855689075258043
9,2.0708963751792906,2.0625718037287393
10,2.0159053285916646,1.8936761220296223
11,2.0198407649993895,1.9003623723983765
12,1.9435721000035604,1.8859783013661702
13,2.0956032991409304,1.8278333478503757
14,1.9817662080128988,1.7670569552315607
15,1.8742494106292724,1.8060051335228815
16,1.9433525760968526,1.7687990797890558
17,1.8448991894721984,1.7448275354173448
18,1.8892628828684488,1.7916978200276692
19,1.8701519886652629,1.756679548157586
20,1.759731908639272,1.617861443095737
21,1.8282409628232321,1.7202889720598857
22,1.7926733295122783,1.75776916080051
23,1.897561260064443,1.8671669562657673
24,1.816278870900472,1.645954430103302
25,1.7377179821332296,1.5503222346305847
26,1.7267425576845805,1.7440303762753804
27,1.8856774290402731,1.6263161301612854
28,1.7682468056678773,1.8357617722617254
29,1.755309251944224,1.678737739721934
30,1.7975568811098734,1.669625461101532
31,1.7277580181757608,1.6147100395626492
32,1.7928863227367402,1.7060463494724698
33,1.7443915009498596,1.6593354278140597
34,1.7419535040855407,1.8010682397418551
35,1.739111844698588,1.5657805601755779
36,1.6739910364151,1.4839042358928256
37,1.6934764424959818,1.6275419923994277
38,1.6972503860791524,1.71196938223309
39,1.690694518884023,1.5394707587030199
40,1.728123426437378,1.511598527431488
41,1.7911166747411091,1.6094818115234375
42,1.769480816523234,1.7935627036624484
43,1.7784074028333028,1.7471237977345784
44,1.7739651203155518,1.6967059042718675
45,1.729283591111501,1.775657057762146
46,1.698292334874471,1.5495322545369465
47,1.6706870436668395,1.6667339470651414
48,1.8881957530975342,1.9878673156102498
49,1.7185878912607828,1.5561158392164443
50,1.8291959285736084,1.841485579808553
51,1.7700458327929178,1.6682310104370117
52,1.6643465141455331,1.6779756546020508
53,1.8637767136096954,1.9875652922524347
54,1.7758068680763244,1.8255979484981961
55,1.769810724258423,1.65533756547504
