model,graph_response_mae,node_voltage_mae,cross_edge_log_current_mae,peak_node_hit_rate,predicted_passivity_rate,parameters,train_seconds
falcon_homogeneous,0.028446125487486523,0.0045152016294499235,0.01210553509493669,0.12083333544433117,,57449,7.978951692581177
hft_typed,0.027901367594798405,0.004327858953426282,0.013365775346755981,0.13333333935588598,,86177,11.188770055770874
edge_centric_hetero,0.027068902427951496,0.004263391873488824,0.01230471208691597,0.12499999906867743,,164129,16.055272340774536
