epoch,train_loss,val_loss
1,497.49630308151245,24.073228624131943
2,8.541338594754537,3.7533614105648465
3,3.177652597427368,2.61918658680386
4,2.5645060380299887,2.3669816388024225
5,2.32579425573349,2.246272775861952
6,2.161188801129659,1.9929509957631428
7,2.0571903824806212,1.9225889709260728
8,2.049610165754954,1.9982974926630657
9,2.0710131923357644,1.9065580235587225
10,1.8874585032463074,1.8059430519739788
11,1.8360501011212667,1.7410808271831937
12,1.7856600681940715,1.8417365153630574
13,1.831598738829295,1.672432005405426
14,1.8354387601216635,1.6132854090796576
15,1.7406599839528403,1.6321310467190213
16,1.7018957217534383,1.5914423796865675
17,1.6827379544576009,1.7519179450141058
18,1.7016919692357382,1.5767350726657443
19,1.684067193667094,1.5456326537662082
20,1.712469204266866,1.5888683663474188
21,1.7067425727844239,1.576032367017534
22,1.7615921338399252,1.732784589131673
23,1.7148293495178222,1.5830321576860216
24,1.6493792057037353,1.618343346648746
25,1.6952344258626302,1.7196422550413344
26,1.7127797921498618,1.6279278331332736
27,1.7634936670462291,1.628247426615821
28,1.649636987845103,1.5848857694201999
29,1.7053706844647725,1.7304891679022048
30,1.671832017103831,1.6427966621186998
31,1.6568085928757985,1.5191016263431973
32,1.690573505560557,1.676421172089047
33,1.6662210941314697,1.5241103304757013
34,1.685096307595571,1.5960123274061415
35,1.6249581853548685,1.557095792558458
36,1.706637305021286,1.535069763660431
37,1.6541199723879496,1.5526915258831449
38,1.6490152676900227,1.6115379797087774
39,1.6948560754458109,1.6621971130371094
40,1.684573761622111,1.53987365298801
41,1.6069153070449829,1.4898365007506476
42,1.6057317594687144,1.6578225758340623
43,1.673926015694936,1.5159461167123582
44,1.6171681960423787,1.5106618536843195
45,1.6720600247383117,1.5871768063969083
46,1.7537737925847372,1.5325209101041157
47,1.6521611611048381,1.5739187664455838
48,1.6497505406538646,1.506167127026452
49,1.6672983805338542,1.6805951926443312
50,1.6274796724319458,1.5914251804351807
51,1.6347053289413451,1.5014638238483005
52,1.6454407731691996,1.6689601143201191
53,1.6905276755491891,1.504159967104594
54,1.5910613616307576,1.5520164238082037
55,1.6340137362480163,1.5396968788570828
