epoch,train_loss,val_loss
1,309.2476998011271,20.823429107666016
2,9.715412775675455,4.50275010532803
3,3.8946680386861163,3.410898658964369
4,3.1666415214538572,2.9657338592741223
5,2.811568486690521,2.6363500224219427
6,2.5455761512120563,2.4142899910608926
7,2.4702911972999573,2.502181887626648
8,2.2201942364374796,2.271950085957845
9,2.2223751664161684,2.176324102613661
10,2.1662097454071043,2.0058533085717096
11,2.0568878650665283,1.985769788424174
12,1.9735847989718118,1.88622960779402
13,1.9685097614924112,1.820716056558821
14,1.899951163927714,1.8324393232663472
15,1.8657365282376608,1.8520839744144015
16,1.8664913853009542,1.7110946973164876
17,1.8481515328089395,1.7248476545015972
18,1.7782555977503458,1.6422714392344158
19,1.8883295059204102,2.022778285874261
20,1.885308579603831,1.7634942531585693
21,1.8949222008387248,1.7543558080991108
22,1.7882620255152384,1.648642857869466
23,1.7913873195648193,1.7208892504374187
24,1.7955912709236146,1.7543469534979925
25,1.8157208124796549,1.913955635494656
26,1.726836089293162,1.811532007323371
27,1.8336090842882793,1.6481935183207195
28,1.9637717922528586,2.1255162027147083
29,2.203397484620412,1.726120392481486
30,2.1322946031888326,1.9268290599187214
31,1.8816644191741942,1.645116514629788
32,1.785042409102122,1.7117482423782349
33,1.7452228903770446,1.500454048315684
34,1.7186264952023824,2.038346118397183
35,2.0174561023712156,1.6843463314904108
36,1.6901480158170064,1.8226997719870672
37,1.9182342052459718,1.5976026058197021
38,1.8063392996788026,1.7314837508731418
39,1.948173701763153,3.3657533062828913
40,2.0362147808074953,1.4912990066740248
41,1.7446311990420023,1.9768887625800238
42,1.7872112313906352,1.679648094707065
43,1.8177751402060192,2.0726276106304593
44,1.8468656301498414,1.5891578263706632
45,1.7616260051727295,1.8671114179823134
46,1.906363840897878,2.3274041414260864
47,1.9298718174298604,2.006401088502672
48,1.9033421397209167,1.7417592406272888
49,1.6939100126425426,1.561736477745904
50,1.7860511382420858,1.5325817002190485
51,1.7299530506134033,1.7045083244641621
52,1.7743809620539348,1.5594263076782227
53,1.7106454292933146,1.5949949622154236
54,1.7040660421053568,1.7006161676512823
55,1.6682094573974608,1.5350802408324347
