forward_scenario,load_w,temperature_c,grounding,added_cps_pf,true_cps_pf,mean_estimated_cps_pf,std_estimated_cps_pf,mean_cps_error_pct,cps_mae_pct,mean_cps_only_total_source_error_pct,mean_valid_frequency_count
full_chain,250.0,25.0,asymmetric,0.0,28.36,28.49574328594419,0.006424942140312876,0.4786434624266203,0.4786434624266203,54.91236461475572,105.0
full_chain,250.0,25.0,asymmetric,5.0,33.36,33.246361097219925,0.03727581964663698,-0.3406441929858281,0.3406441929858281,43.68510068806199,105.0
full_chain,250.0,25.0,asymmetric,10.0,38.36,38.42842244781787,0.036724474812946314,0.17836925917068772,0.17836925917068772,30.144952234365118,105.0
full_chain,250.0,25.0,baseline,0.0,28.36,28.517112392755454,0.0516271206140817,0.5539929222688805,0.5539929222688805,158.52319294780094,105.0
full_chain,250.0,25.0,baseline,5.0,33.36,33.48411322561751,0.17506775665443433,0.3720420432179732,0.5148520123680079,134.8147041021659,104.33333333333333
full_chain,250.0,25.0,baseline,10.0,38.36,38.43773891386215,0.05092916278041592,0.20265618837890695,0.20265618837890695,110.0059410706347,104.66666666666667
full_chain,250.0,80.0,asymmetric,0.0,28.36,28.490266421142806,0.013317558692095027,0.4593315273018528,0.4593315273018528,54.92103043128632,105.0
full_chain,250.0,80.0,asymmetric,5.0,33.36,33.263480153776136,0.033303609018011264,-0.28932807621061407,0.28932807621061407,43.656103290618724,105.0
full_chain,250.0,80.0,asymmetric,10.0,38.36,38.42301888780497,0.0686658898225799,0.16428281492432803,0.16428281492432803,30.154774806273142,105.0
full_chain,250.0,80.0,baseline,0.0,28.36,28.500085693078574,0.022629994170582247,0.4939551942121743,0.4939551942121743,158.3688366193899,104.66666666666667
full_chain,250.0,80.0,baseline,5.0,33.36,33.269504626714145,0.00400696638261977,-0.27126910457391135,0.27126910457391135,133.30971412946678,105.0
full_chain,250.0,80.0,baseline,10.0,38.36,38.42856828492807,0.015229007139341489,0.17874943933282564,0.17874943933282564,109.95583701628784,105.0
full_chain,750.0,25.0,asymmetric,0.0,28.36,28.42955387293068,0.1493172699876299,0.24525343064414154,0.48620663481587,53.977519031969486,108.66666666666667
full_chain,750.0,25.0,asymmetric,5.0,33.36,33.73171022266988,0.02386174703670678,1.1142392765883704,1.1142392765883704,41.45029375108817,109.0
full_chain,750.0,25.0,asymmetric,10.0,38.36,38.51270406428514,0.07607103502074786,0.39808150230745293,0.39808150230745293,28.14067779635448,109.0
full_chain,750.0,25.0,baseline,0.0,28.36,28.45274306960948,0.08472882473381776,0.32702069678941587,0.32702069678941587,157.76719299493814,109.33333333333333
full_chain,750.0,25.0,baseline,5.0,33.36,33.406988697126515,0.2592401291085996,0.14085340865262422,0.5460728827965086,132.2303992690043,110.0
full_chain,750.0,25.0,baseline,10.0,38.36,38.38686489918573,0.04837354234248747,0.07003362665726573,0.08045015043127222,107.56281032389728,109.33333333333333
full_chain,750.0,80.0,asymmetric,0.0,28.36,28.414972878079286,0.15034585689857455,0.19383948546999022,0.36885762502404557,54.00112311527809,109.33333333333333
full_chain,750.0,80.0,asymmetric,5.0,33.36,33.713622075570804,0.012428287490194931,1.060018212142699,1.060018212142699,41.481690193552744,109.66666666666667
full_chain,750.0,80.0,asymmetric,10.0,38.36,38.414916748527105,0.060717558272187465,0.14316149251070898,0.14316149251070898,28.323135258150902,109.0
full_chain,750.0,80.0,baseline,0.0,28.36,28.406557305351992,0.1531037233864264,0.16416539263748298,0.4274023957404993,157.34877376625946,109.0
full_chain,750.0,80.0,baseline,5.0,33.36,33.415057179322936,0.3090952359051484,0.16503950636371187,0.6577275396222656,132.28648773776624,109.66666666666667
full_chain,750.0,80.0,baseline,10.0,38.36,38.28797708060164,0.14445442522645002,-0.18775526433356893,0.3251965675223459,107.02811092643363,108.66666666666667
matched_switching,250.0,25.0,asymmetric,0.0,28.36,28.330299431645958,0.01830639986267374,-0.10472696880832173,0.10472696880832173,55.174139578983706,105.0
matched_switching,250.0,25.0,asymmetric,5.0,33.36,33.350370121392054,0.026184396077416558,-0.02886654258977991,0.0677555721765148,43.5089232800546,105.0
matched_switching,250.0,25.0,asymmetric,10.0,38.36,38.354678452984494,0.017255063661098587,-0.013872646025821812,0.03470424443037171,30.279003802277114,105.0
matched_switching,250.0,25.0,baseline,0.0,28.36,28.350539486379905,0.019843392075448933,-0.033358651692858614,0.0474361092836906,157.01311860991882,105.0
matched_switching,250.0,25.0,baseline,5.0,33.36,33.345858500147756,0.029294508843948963,-0.042390587087061025,0.08171651385169332,133.84516245018418,105.0
matched_switching,250.0,25.0,baseline,10.0,38.36,38.362626409134855,0.04935558790023326,0.006846739141964262,0.09552038467033765,109.59556125415338,105.0
matched_switching,250.0,80.0,asymmetric,0.0,28.36,28.37918189375783,0.021603350309992487,0.06763714301069061,0.07544489476051376,55.096794882047156,105.66666666666667
matched_switching,250.0,80.0,asymmetric,5.0,33.36,33.38483926385482,0.044104789694459065,0.07445822498447278,0.09576796847731323,43.450537152277086,105.33333333333333
matched_switching,250.0,80.0,asymmetric,10.0,38.36,38.38153242016782,0.014129968949606003,0.05613248218932543,0.05613248218932543,30.230188757557656,105.33333333333333
matched_switching,250.0,80.0,baseline,0.0,28.36,28.381800617872898,0.023337124324207995,0.07687100801444731,0.07687100801444731,157.2965178341257,105.0
matched_switching,250.0,80.0,baseline,5.0,33.36,33.3667693257141,0.016577855758499675,0.020291743747311294,0.04306903194112244,133.99180421085464,105.0
matched_switching,250.0,80.0,baseline,10.0,38.36,38.3521606868425,0.00842264902403697,-0.02043616568689939,0.020691232071078203,109.53838141160554,105.0
matched_switching,750.0,25.0,asymmetric,0.0,28.36,28.261893340166196,0.05632129069777072,-0.3459332152108674,0.3459332152108674,54.24893214357622,110.66666666666667
matched_switching,750.0,25.0,asymmetric,5.0,33.36,33.30671748755084,0.04263566618141508,-0.15971976153824355,0.15971976153824355,42.187973508055194,111.0
matched_switching,750.0,25.0,asymmetric,10.0,38.36,38.41753027370016,0.05433963266902499,0.14997464468238794,0.14997464468238794,28.31825878551515,110.0
matched_switching,750.0,25.0,baseline,0.0,28.36,28.30375157095618,0.10291797277437746,-0.1983371969105008,0.21323728427021502,156.41740677945754,110.33333333333333
matched_switching,750.0,25.0,baseline,5.0,33.36,33.37128731048791,0.09179361559345453,0.033834863572874435,0.2226610354557599,131.9822192444978,110.66666666666667
matched_switching,750.0,25.0,baseline,10.0,38.36,38.32640283517296,0.05864015640684974,-0.0875838499140603,0.14251452795153938,107.2358840183125,110.66666666666667
matched_switching,750.0,80.0,asymmetric,0.0,28.36,28.427257503529408,0.12543259674037302,0.2371562183688578,0.3462261538564027,53.98123645284559,111.0
matched_switching,750.0,80.0,asymmetric,5.0,33.36,33.3547654072243,0.04352591500304226,-0.015691225346823327,0.08705567715014449,42.10457448784004,111.0
matched_switching,750.0,80.0,asymmetric,10.0,38.36,38.3635438720621,0.028922300335466385,0.00923845688764515,0.05861664566206324,28.41898986436772,110.33333333333333
matched_switching,750.0,80.0,baseline,0.0,28.36,28.362430483499413,0.09924426656227797,0.008570111069859462,0.27006348710848554,156.94900749497592,111.0
matched_switching,750.0,80.0,baseline,5.0,33.36,33.36400377303295,0.05788310910908471,0.012001717724666502,0.12346566075319722,131.9315873594575,110.66666666666667
matched_switching,750.0,80.0,baseline,10.0,38.36,38.38273216377087,0.08271560740085832,0.05926007239537545,0.15695713796866553,107.54046408178333,110.33333333333333
weak_cross_mode,250.0,25.0,asymmetric,0.0,28.36,28.848616000879705,0.022460273887816008,1.7229055038071508,1.7229055038071508,54.35402872055703,105.33333333333333
weak_cross_mode,250.0,25.0,asymmetric,5.0,33.36,33.961476668292526,0.022851750839484656,1.802987614785738,1.802987614785738,42.4737903355218,105.0
weak_cross_mode,250.0,25.0,asymmetric,10.0,38.36,38.65632837866818,0.06090912359017445,0.7724931664968034,0.7724931664968034,29.730665655017827,105.0
weak_cross_mode,250.0,25.0,baseline,0.0,28.36,28.75527820117024,0.03176040289210392,1.393787733322414,1.393787733322414,160.68229602929057,105.33333333333333
weak_cross_mode,250.0,25.0,baseline,5.0,33.36,33.87969686294954,0.06778146908123504,1.5578443133978865,1.5578443133978865,137.58882131177776,105.33333333333333
weak_cross_mode,250.0,25.0,baseline,10.0,38.36,38.63571303855539,0.15227340629634034,0.71875140395045,0.71875140395045,111.08757967734385,105.33333333333333
weak_cross_mode,250.0,80.0,asymmetric,0.0,28.36,28.794797444940738,0.018992552601570182,1.5331362656584477,1.5331362656584477,54.439183594489855,105.66666666666667
weak_cross_mode,250.0,80.0,asymmetric,5.0,33.36,33.86090906721827,0.04052335702367599,1.5015259808701107,1.5015259808701107,42.6441384320241,105.33333333333333
weak_cross_mode,250.0,80.0,asymmetric,10.0,38.36,38.574928547150186,0.0856258108700557,0.5602933971589857,0.5602933971589857,29.87863397525072,105.33333333333333
weak_cross_mode,250.0,80.0,baseline,0.0,28.36,28.820941567138295,0.01478532500240745,1.6253228742535184,1.6253228742535184,161.27757029114312,105.0
weak_cross_mode,250.0,80.0,baseline,5.0,33.36,33.92762484742888,0.011636345472895784,1.7015133316213538,1.7015133316213538,137.92492683793867,105.0
