forward_scenario,load_w,phase_deg,temperature_c,grounding,added_cps_pf,repeat,true_rs_ohm,true_cps_pf,estimated_rs_ohm,estimated_ls_uh,estimated_cps_pf,cps_error_pct,true_ips_rms_a,predicted_ips_rms_a,total_capacitive_source_rms_a,cps_only_total_source_error_pct,valid_frequency_count,median_condition,physics_fit_cost
matched_switching,250.0,5.572516323178269,25.0,baseline,0.0,0,0.095,28.36,0.09790998664374914,95.99902764770808,28.36598855045914,0.02111618638624182,0.025716510169269815,0.025721940515489195,0.01000257559896507,157.1531728103165,105,2.4192000704746426,3.9772820885504934e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,0.0,1,0.095,28.36,0.09748928830444423,96.00066071268043,28.328160432056475,-0.11226928047787128,0.025716510169269815,0.025687638428338756,0.01000257559896507,156.81024026448313,105,2.4177129613119757,2.870468420686813e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,0.0,2,0.095,28.36,0.08991566178063182,95.99603796174827,28.3574694766241,-0.008922860986947135,0.025716510169269815,0.025714215520816718,0.01000257559896507,157.0759427549568,105,2.4174634083464803,3.4077369926563664e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,5.0,0,0.095,33.36,0.08999139001747425,96.00313921553789,33.328387933198755,-0.09476039209005979,0.030250450608139672,0.030221785162534393,0.01293061911040041,133.7226462592675,105,2.4212391789459606,2.6389371947505162e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,5.0,1,0.095,33.36,0.09915093108210299,95.99881479317253,33.37967869375302,0.05898889014693628,0.030250450608139672,0.030268295013217865,0.01293061911040041,134.0823339918221,105,2.4144285877185814,2.2359039252952936e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,5.0,2,0.095,33.36,0.09277021012822542,96.00238556060908,33.32950887349149,-0.09140025931807465,0.030250450608139672,0.030222801617838944,0.01293061911040041,133.73050709946293,105,2.421416302756494,2.6140564507022528e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,10.0,0,0.095,38.36,0.09611767167308691,95.99577908257179,38.406103185584655,0.12018557243133646,0.034784391047009526,0.03482619686650613,0.01659709415379487,109.83309815437322,105,2.4185975929448777,2.2111462161939902e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,10.0,1,0.095,38.36,0.0924261494893081,96.00230394272911,38.30897718436297,-0.13301046829256274,0.034784391047009526,0.03473812416558518,0.01659709415379487,109.30244682405701,105,2.4181293756604885,2.551747027543384e-05
matched_switching,250.0,5.572516323178269,25.0,baseline,10.0,2,0.095,38.36,0.09473268924504469,96.00084357554778,38.37279885745694,0.03336511328712983,0.034784391047009526,0.0347959968984886,0.01659709415379487,109.65113878402994,105,2.421648146461422,2.692540765796156e-05
matched_switching,250.0,5.572516323178269,25.0,asymmetric,0.0,0,0.095,28.36,0.09809389075345928,96.00561628563669,28.326183607224863,-0.11923974885450582,0.025716510169269815,0.025685845867129836,0.05730972658729351,55.18065187764339,105,2.4182263793945515,3.313386046091495e-05
matched_switching,250.0,5.572516323178269,25.0,asymmetric,0.0,1,0.095,28.36,0.09557962862148392,96.00148089430085,28.314401306767742,-0.1607852370672018,0.025716510169269815,0.025675161817428745,0.05730972658729351,55.19929452407937,105,2.4170037259248933,2.659935694849032e-05
