node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.756446923229291e-11,-1.082389118978815e-11,-7.842389828256109e-14,-7.975282423818309e-15,-1.839900954385605e-12,-4.746745922945695e-13,-7.633828547174215e-14,-2.695413855333611e-14
P2,-1.082389118978815e-11,2.585789411553828e-11,-1.076192060281318e-11,-7.847092727516843e-14,-4.488050324539338e-13,-9.034739657809879e-13,-4.015228981837663e-13,-5.933984019415753e-14
P3,-7.842389828256110e-14,-1.076192060281318e-11,2.586262852538351e-11,-1.082889112321389e-11,-5.935252769381320e-14,-4.014901089540584e-13,-9.034002392660363e-13,-4.486286999290315e-13
P4,-7.975282423818316e-15,-7.847092727516846e-14,-1.082889112321388e-11,1.757330855872123e-11,-2.699921442228025e-14,-7.640042899223661e-14,-4.749475659903073e-13,-1.840891640918136e-12
S1,-1.839900954385606e-12,-4.488050324539339e-13,-5.935252769381319e-14,-2.699921442228028e-14,1.862259695142435e-11,-1.351672633760878e-11,-4.266159047219897e-13,-2.818656104815509e-13
S2,-4.746745922945695e-13,-9.034739657809877e-13,-4.014901089540582e-13,-7.640042899223657e-14,-1.351672633760878e-11,2.963652310484226e-11,-1.322606832043882e-11,-4.265693260217009e-13
S3,-7.633828547174217e-14,-4.015228981837664e-13,-9.034002392660360e-13,-4.749475659903069e-13,-4.266159047219894e-13,-1.322606832043882e-11,2.963645343646151e-11,-1.351647907581342e-11
S4,-2.695413855333611e-14,-5.933984019415759e-14,-4.486286999290316e-13,-1.840891640918136e-12,-2.818656104815508e-13,-4.265693260217012e-13,-1.351647907581342e-11,1.862192577340050e-11
