node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.803306898208122e-08,7.061888304966566e-08,5.729055728257253e-08,4.775478716371301e-08,5.533388471238251e-08,5.339871286069343e-08,4.816939134498933e-08,4.217946413856148e-08
P2,7.061888304966566e-08,8.920346626530478e-08,7.118916629085463e-08,5.729060477318842e-08,5.342434711704104e-08,5.640271900879904e-08,5.394378335977340e-08,4.819423196770864e-08
P3,5.729055728257253e-08,7.118916629085463e-08,8.920343792134407e-08,7.061903735801783e-08,4.819417487217755e-08,5.394380095920662e-08,5.640281504388200e-08,5.342453152879890e-08
P4,4.775478716371301e-08,5.729060477318842e-08,7.061903735801783e-08,8.802737993795440e-08,4.217951114638986e-08,4.816953734383424e-08,5.339901934983875e-08,5.533448298680246e-08
S1,5.533388471238251e-08,5.342434711704104e-08,4.819417487217755e-08,4.217951114638986e-08,8.116802288458516e-08,6.193690733468785e-08,4.939637248440523e-08,4.155501666892690e-08
S2,5.339871286069343e-08,5.640271900879904e-08,5.394380095920662e-08,4.816953734383424e-08,6.193690733468785e-08,8.220469798275946e-08,6.243651630404463e-08,4.939644022609376e-08
S3,4.816939134498933e-08,5.394378335977340e-08,5.640281504388200e-08,5.339901934983875e-08,4.939637248440523e-08,6.243651630404463e-08,8.220453018865974e-08,6.193711311771595e-08
S4,4.217946413856148e-08,4.819423196770864e-08,5.342453152879890e-08,5.533448298680246e-08,4.155501666892690e-08,4.939644022609376e-08,6.193711311771595e-08,8.116985193503968e-08
