tr_ns,fs_kHz,duty,rankI,lambdaMin,condI,detI,traceInvI,var_Lsigma,var_Cp,var_Rac,corr_Lsigma_Cp,corr_Lsigma_Rac,corr_Cp_Rac
50,500,0.3,3,49.2776328612195,8.07347833930114,4717335.44934118,0.0269626295939221,0.00309049071478324,0.0197162531275711,0.0041558857515677,-0.403583719498901,1.12987922917117e-05,-2.82822502210798e-05
100,500,0.3,3,6.08241741108386,54.3107245216354,483470.951338015,0.171591419476896,0.00310150763198336,0.164333987292637,0.00415592455227579,-0.15337431876868,1.05893552747132e-05,-6.91314227181714e-05
50,500,0.7,3,4.0553044498007,62.9750044536283,248809.399403857,0.254668744241121,0.00398673732259865,0.246519563392422,0.00416244352610025,-0.132430334087459,8.6648097980157e-06,-6.54901143727972e-05
200,500,0.3,3,3.84129660102554,84.3464454752457,299461.014484328,0.267571250968366,0.00313583614212248,0.260279351264277,0.00415606356196682,-0.124783314789943,1.06369668527343e-05,-8.53140072505958e-05
50,500,0.5,3,2.77491772432133,102.082443578508,189013.812983162,0.368059942445041,0.00357549409044926,0.36032574694763,0.00415870140696253,-0.112003983022781,9.82466366900516e-06,-8.77523609105653e-05
50,200,0.3,3,2.24461658227466,110.292155503049,133465.650707913,0.453713260479409,0.00408305924077061,0.445466692759744,0.00416350847889449,-0.102976029355399,8.78258729049985e-06,-8.53281932456152e-05
50,200,0.5,3,1.75359397267518,136.536500746077,85380.1066735404,0.579351593409096,0.00496468829250174,0.570210311788061,0.00417659332853371,-0.0970036694148622,7.70068820908083e-06,-7.94309213968777e-05
50,100,0.3,3,1.6023113650027,149.142480865069,71915.4564261145,0.633607431877315,0.00537409591888725,0.624048757389321,0.00418457856910624,-0.0957249568487728,7.34936757021291e-06,-7.68222683100185e-05
50,200,0.7,3,1.47691913041157,161.465042157129,61565.3069125325,0.686999316452694,0.00577306728421397,0.677032863793383,0.00419338537509619,-0.094758180784515,7.0600949647561e-06,-7.45532479591769e-05
50,100,0.5,3,1.17439723794288,201.586645714903,40388.6762819327,0.862608495940554,0.00694298147651543,0.851441521146535,0.00422399331750382,-0.0919026490162079,6.40469647998445e-06,-6.9735615115291e-05
50,50,0.3,3,1.00223249961888,234.91769537945,30812.6653795015,1.00967794341429,0.0077201764296664,0.997710439100871,0.00424732788375566,-0.0892953482176424,6.07199727573793e-06,-6.80423777583264e-05
50,100,0.7,3,0.843091724552711,277.607989446444,23372.5808620456,1.19882574782294,0.00850570458677092,1.18604743360882,0.00427260962735515,-0.0858438260961418,5.79030029775985e-06,-6.74918024398072e-05
50,50,0.5,3,0.431963103758598,531.235158933337,9090.48261273106,2.33027451183884,0.0109577382561082,2.31495898116444,0.00435779241829329,-0.0697446359079889,5.13930096432647e-06,-7.37151351801625e-05
100,500,0.7,3,0.419894472458367,598.542899462405,25352.7102387324,2.38969214490904,0.00399143144495737,2.38153824244402,0.00416247102006064,-0.0559537652238264,1.12013007315103e-05,-0.000200203297638078
100,500,0.5,3,0.312735572427488,895.850030916215,21068.2747211995,3.2053176229165,0.00358395801140155,3.19757493288761,0.00415873201749401,-0.0638385573135565,1.65000036885768e-05,-0.000258470856884125
200,500,0.7,3,0.260679881696603,960.049196811732,15672.7797504313,3.84428099079103,0.00400476872274172,3.83611364280459,0.00416257926369365,-0.0474138288470321,1.19958438995423e-05,-0.000253014203338276
100,200,0.3,3,0.242092223554664,1012.96463936152,14259.1533209623,4.13889858185925,0.00408778372065988,4.13064726281181,0.00416353532678324,-0.0494198377239195,1.27149233947037e-05,-0.000257292395904878
100,200,0.5,3,0.183234212745941,1306.67914659095,8845.92727807826,5.46663221690679,0.00496715345935124,5.45748844791768,0.00417661552975937,-0.0392109410231496,9.54932263104276e-06,-0.000243548630251601
100,100,0.3,3,0.166257585886309,1437.35714330258,7400.38521962904,6.02431649444811,0.00537610411226433,6.01475579118563,0.00418459915021713,-0.0369651311163737,8.73875408704272e-06,-0.000236417563827513
200,500,0.5,3,0.178827079202325,1556.84293262944,11971.2056437061,5.59974499048504,0.00360339382829319,5.59198274408837,0.00415885256837848,-0.0565065982512582,1.91930094885084e-05,-0.000339664172562823
100,200,0.7,3,0.152532290583465,1563.40487828101,6306.75364143497,6.56594979939097,0.00577477634272217,6.55598161844002,0.00419340460822088,-0.0354300613024572,8.14852513844891e-06,-0.000230001766088195
200,200,0.3,3,0.145103899467074,1683.87101496681,8515.17825515118,6.89986991316893,0.00410023191519851,6.89160604010004,0.0041636411536902,-0.0427883414735482,1.41679141888355e-05,-0.000331122565271977
100,100,0.5,3,0.120380578955215,1966.61208295034,4108.36772547018,8.31814865234312,0.00694421210060961,8.3069804307117,0.00422400953081284,-0.0325486786268515,7.03149921536168e-06,-0.000216043355045775
200,200,0.5,3,0.113496640981911,2109.51894836994,5468.52533471701,8.8199792623619,0.0049745576038104,8.81082800168064,0.00417670307744717,-0.0330617136436474,1.02109389525414e-05,-0.000308853463070712
100,50,0.3,3,0.102475955453313,2297.52765384559,3127.78569162368,9.77034782318329,0.00772124411577108,9.75837923644621,0.00424734262130511,-0.0310623665337466,6.55853087959326e-06,-0.000211153409329982
200,100,0.3,3,0.103709839824573,2304.1873566875,4608.94620228935,9.65184848984225,0.00538234395582294,9.64228146557172,0.00418468031469959,-0.0309101113132595,9.23760455157923e-06,-0.000298863133649367
200,200,0.7,3,0.0955881885351098,2494.71639661698,3946.95761157189,10.4715122611689,0.00578021480290929,10.4615385659069,0.0041934804590628,-0.0294406045741439,8.54196925232627e-06,-0.00029015222748184
100,100,0.7,3,0.0860712483135988,2719.23866524961,2370.19381355711,11.6310534480654,0.0085066656940106,11.6182741592092,0.00427262316216171,-0.029550973990082,6.19729386912772e-06,-0.000209727268284582
50,50,0.7,3,0.0778715675324871,2861.75196210523,1195.23012371008,12.8606639040461,0.01453646568578,12.8416400970727,0.00448734128763728,-0.0345904969727184,4.5752357219209e-06,-0.000132278347642191
200,100,0.5,3,0.0759756647472502,3115.97568751285,2590.45419145057,13.1732766461895,0.00694828894539204,13.1621042837772,0.00422407346693021,-0.0267357792128066,7.26350870660392e-06,-0.000271687628539127
200,50,0.3,3,0.0648112938252695,3632.6712967921,1976.60172109982,15.441376854051,0.00772482997984702,15.4294046233462,0.00424740072497984,-0.0254087581106251,6.74067310373018e-06,-0.000265299228685692
