budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.2,5,8,distance,4.054124230706603e-06,2.496175732518446e-07,59.14769821055204,2.8431392250661788e-05,1.0,0.0,0.203125
0.2,5,8,magnitude,4.06225791973712e-06,2.33584360645509e-07,57.88255728301848,2.8200628804259077e-05,1.0,0.0,0.203125
0.2,5,8,fisher_proxy,3.092185765431419e-06,2.2735484077963402e-07,51.05601032374123,2.2575913786240692e-05,1.0,0.0,0.203125
0.2,5,8,oracle_edge_current,3.0291498071553326e-06,2.2484456508783592e-07,50.49735237688948,2.2013745374192023e-05,1.0,0.0,0.203125
0.2,5,8,learned_gate,2.9629159542482002e-06,2.415373867305274e-07,51.06078270167781,2.3288060447686805e-05,1.0,0.0,0.203125
0.2,6,4,distance,2.9169534431507337e-06,1.411522704061401e-07,57.328184479524126,3.2010867682978534e-05,1.0,0.0,0.1875
0.2,6,4,magnitude,3.292020502932332e-06,1.504955879314116e-07,60.18111976415985,3.93328186587343e-05,1.0,0.0,0.1875
0.2,6,4,fisher_proxy,2.589872313665577e-06,1.887416371818484e-07,58.06489587940516,4.036928918029753e-05,1.0,0.0,0.1875
0.2,6,4,oracle_edge_current,2.643818312976151e-06,1.6703653075439505e-07,55.22759390535187,4.142243108635681e-05,1.0,0.0,0.1875
0.2,6,4,learned_gate,2.643818312976151e-06,1.6703653075439505e-07,55.22759390535187,4.142243108635681e-05,1.0,0.0,0.1875
0.2,7,6,distance,3.1861456572699712e-06,1.6012068065589952e-07,61.18836327544596,2.651357654003225e-05,1.0,0.0,0.19444444444444442
0.2,7,6,magnitude,3.040661861962446e-06,1.6393764035806323e-07,59.812546891221864,2.472487706367249e-05,1.0,0.0,0.19444444444444442
0.2,7,6,fisher_proxy,2.3472675332748133e-06,1.8747124648102174e-07,54.95272937416753,2.4507708077338293e-05,1.0,0.0,0.19444444444444442
0.2,7,6,oracle_edge_current,2.4944340289033187e-06,1.576006626591095e-07,53.47665086491157,2.272582970192271e-05,1.0,0.0,0.19444444444444442
0.2,7,6,learned_gate,2.367628790938987e-06,1.6795098137684713e-07,53.61173558711027,2.1433188965570943e-05,1.0,0.0,0.19444444444444442
0.2,8,8,distance,3.085972078620226e-06,2.0719499756888748e-07,64.11096513598204,2.1291731753233704e-05,1.0,0.0,0.203125
0.2,8,8,magnitude,3.229336997244714e-06,1.7427286629509628e-07,63.25684973204074,2.0622993791472248e-05,1.0,0.0,0.203125
0.2,8,8,fisher_proxy,2.46417396688609e-06,1.9134875088380727e-07,56.74783263756248,1.7432905731082117e-05,1.0,0.0,0.203125
0.2,8,8,oracle_edge_current,2.4049479717897584e-06,1.7988624285514417e-07,55.08693525881447,1.7218081028714713e-05,1.0,0.0,0.203125
0.2,8,8,learned_gate,2.327936221675836e-06,1.915301252475815e-07,55.81525853145387,1.6519667310665237e-05,1.0,0.0,0.203125
0.2,9,4,distance,2.3255152716075556e-06,1.3112210826085697e-07,42.98835858477487,2.7962408336347754e-05,1.0,0.0,0.1875
