epoch,loss,temperature
1,0.32426585411596287,0.55
2,0.12373347116700868,0.5420454545454546
3,0.10073626495764519,0.5340909090909092
4,0.09063616765894231,0.5261363636363637
5,0.08629591014050736,0.5181818181818182
6,0.08282856129583899,0.5102272727272728
7,0.08088684998350701,0.5022727272727273
8,0.08203957578952102,0.4943181818181819
9,0.07773840508692696,0.48636363636363644
10,0.0750490337790385,0.47840909090909095
11,0.07285901394002595,0.4704545454545455
12,0.07761636513448819,0.4625
13,0.07325516976610968,0.4545454545454546
14,0.07015508746978821,0.44659090909090915
15,0.07179181721319716,0.4386363636363637
16,0.07250224732346333,0.4306818181818182
17,0.07073636917270415,0.4227272727272728
18,0.06979831492625407,0.4147727272727273
19,0.06841883400634746,0.40681818181818186
20,0.0689381512118302,0.3988636363636364
21,0.0692941306767962,0.390909090909091
22,0.06714822807989809,0.38295454545454555
23,0.06960170652856129,0.37500000000000006
24,0.0684952281038008,0.3670454545454546
25,0.0663190289841475,0.3590909090909091
26,0.06907679556109309,0.3511363636363637
27,0.06695081781135367,0.34318181818181825
28,0.06853514366987147,0.3352272727272728
29,0.06546487121295586,0.3272727272727274
30,0.07013307920870378,0.3193181818181819
31,0.06505948987408175,0.3113636363636364
32,0.06845030159099856,0.30340909090909096
33,0.06597875873913979,0.2954545454545455
34,0.06597233601812467,0.2875000000000001
35,0.06709234309013284,0.2795454545454546
36,0.06577460238008835,0.27159090909090916
37,0.06549656293449481,0.26363636363636367
38,0.06699417587340199,0.25568181818181823
39,0.06547193553344259,0.2477272727272728
40,0.06489841603796874,0.23977272727272736
41,0.06443161629523834,0.23181818181818187
42,0.0645709458825477,0.22386363636363643
43,0.06497191316419733,0.215909090909091
44,0.06346148289912644,0.2079545454545455
45,0.06632221553434653,0.20000000000000007
