epoch,train_mse,val_mse
1,0.3553397943576177,0.13938166201114655
2,0.12279893880089124,0.12664372846484184
3,0.1143419623374939,0.12559699763854346
4,0.10202189882596334,0.09565898155172665
5,0.07941359927256902,0.07370535532633464
6,0.07097808519999187,0.0900462158024311
7,0.06690397771696249,0.06974818060795467
8,0.06484902128577233,0.13539371887842813
9,0.07168598932524523,0.05732982854048411
10,0.05488196164369583,0.05476133028666178
11,0.050406237194935484,0.047369797403613724
12,0.04611958699921767,0.049651896581053734
13,0.04476892873644829,0.06021366206308206
14,0.04249029445151488,0.036299225563804306
15,0.0450902471318841,0.047985065107544266
16,0.03686304229001204,0.037420464058717094
17,0.036728738745053606,0.06015689360598723
18,0.04091064961006244,0.0554603406538566
19,0.034727819015582403,0.026362737951179344
20,0.028793215937912463,0.033335561553637184
21,0.03379536513239145,0.051169946789741516
22,0.03698023967444897,0.029286805540323257
23,0.026946064115812383,0.02833099601169427
24,0.027095355559140444,0.03380062741537889
25,0.026816874152670304,0.02903178334236145
26,0.026490331006546814,0.042940132319927216
27,0.027334327002366383,0.07540379216273625
28,0.04269951973110438,0.04052841601272424
29,0.02509592128917575,0.030837925461431343
30,0.030559546872973443,0.027021039898196857
31,0.02639346830546856,0.029188317246735096
32,0.023738227722545465,0.020758498770495255
33,0.028459491642812886,0.0244013499468565
34,0.02339798559745153,0.01871690573170781
35,0.023249271512031554,0.05530139245092869
36,0.026901318722714982,0.017640219225237768
37,0.02037341152317822,0.018721966693798702
38,0.021481747118135292,0.02435408594707648
39,0.022054220099623004,0.02067247498780489
40,0.020239593414589762,0.03734304072956244
41,0.027325477295865614,0.044989156226317085
42,0.02517920055737098,0.01816584759702285
43,0.025504795756811898,0.028330155027409393
44,0.025053039907167354,0.018183662090450525
45,0.021899267736201485,0.04002650827169418
46,0.02260058109338085,0.017011547461152077
47,0.022022372903302313,0.03832751139998436
48,0.029579562538613876,0.03676570455233256
49,0.02490620923539003,0.028279912968476612
50,0.028938460536301135,0.02116339250157277
51,0.022952514824767907,0.03243020176887512
52,0.024027316458523275,0.03825319620470206
53,0.027449442911893128,0.03654317185282707
54,0.025537206667164962,0.03635917169352373
55,0.024208645274241766,0.024722575520475704
56,0.02258192116084198,0.018821454141288996
57,0.019846430459680656,0.01999893443038066
58,0.01988699131955703,0.025761125919719536
59,0.019691425375640392,0.017073580529540777
60,0.018033850006759167,0.02391595548639695
61,0.02481737257912755,0.0751325711607933
62,0.0364671740680933,0.018392512574791908
63,0.021962155898412068,0.039101329942544304
64,0.022460527019575238,0.02396688051521778
65,0.021050715756913026,0.0192496869713068
66,0.02119288416579366,0.0314034599189957
67,0.022610926069319248,0.020278949290513992
68,0.017906475765630602,0.02033862021441261
69,0.028123036166653036,0.04293492498497168
70,0.02432351450746258,0.03158774133771658
