epoch,train_mse,val_mse
1,0.40484025577704114,0.1380820001165072
2,0.12030614117781321,0.11367322628696759
3,0.11033174196879068,0.10226848100622495
4,0.09443234751621882,0.08774345864852269
5,0.07789808536569277,0.07266041139761607
6,0.0707944909731547,0.06765921662251155
7,0.06897077187895775,0.06481819848219554
8,0.07183763012290001,0.06351816095411777
9,0.061483902111649516,0.059136118118961654
10,0.05768340776364009,0.07282477120558421
11,0.05923337936401367,0.07874996463457744
12,0.05766727303465207,0.04939556494355202
13,0.04722937742869059,0.0456383042037487
14,0.04374244064092636,0.047750888392329216
15,0.05076773129403591,0.041471087684233986
16,0.040180667241414385,0.0597910446425279
17,0.036310573915640514,0.031806948905189834
18,0.0319665402173996,0.03172520517061154
19,0.030335681761304537,0.037831492722034454
20,0.03532122044513623,0.022936956646541756
21,0.024417864407102266,0.033190932435293995
22,0.025632916018366814,0.02516111731529236
23,0.024290908283243578,0.06748860950271289
24,0.03108078883960843,0.020682127835849922
25,0.025902325504769882,0.019514808741708595
26,0.023345772301157315,0.02004586656888326
27,0.023746147224058708,0.043902453035116196
28,0.02472194960961739,0.026121961573759716
29,0.02450339983527859,0.060227359334627785
30,0.03351981562251846,0.019139942557861406
31,0.022628895534823338,0.017461964239676792
32,0.020641784199203053,0.044983002046744026
33,0.02243577167391777,0.028159717718760174
34,0.032397508683303995,0.06868147601683934
35,0.03494053762406111,0.020135978236794472
36,0.029477293758342665,0.06184811145067215
37,0.031058314039061466,0.0236784756804506
38,0.02050586057205995,0.02020275266841054
39,0.018728377437219022,0.0231851056839029
40,0.022888659856592615,0.04278657088677088
41,0.037689763586968184,0.02107250007490317
42,0.023618645019208392,0.029347561299800873
43,0.02232930703709523,0.024579539895057678
44,0.022011139585326116,0.03033871514101823
45,0.030334649452318747,0.02327591273933649
46,0.025479979471613963,0.028009427711367607
47,0.024425635781760015,0.03795508978267511
48,0.023065453519423802,0.05524176172912121
49,0.026861708052456378,0.030444922546545666
50,0.020097052569811542,0.017587939742952585
51,0.018974064321567615,0.018622123791525762
52,0.021308633234972753,0.036978617000083126
53,0.02099118052671353,0.02007889763141672
54,0.02030252932260434,0.019283582145969074
55,0.022351872393240532,0.030465185331801575
56,0.02378629413433373,0.020357005608578522
57,0.02328789165864388,0.0259923217818141
58,0.02132069362948338,0.017991215456277132
59,0.02122679363625745,0.030555035918951035
60,0.030454426972816386,0.021579911311467487
61,0.02340985822180907,0.021310176700353622
62,0.028227550303563477,0.021443917105595272
63,0.020628046477213502,0.0330341470738252
64,0.027197605899224677,0.0448308481524388
65,0.027609251905232668,0.018321737026174862
66,0.020770137306923668,0.02185315142075221
67,0.019739666891594728,0.016922769136726856
68,0.018281517775418858,0.01956199761480093
69,0.018023914052173497,0.025009998430808384
70,0.01906932283503314,0.01735574270909031
