epoch,train_loss,val_mse
0,2.438704364001751,0.008043769747018814
5,0.34270723909139633,0.007236798759549856
10,0.3448155701160431,0.007220677100121975
15,0.34089545160532,0.007189830299466848
20,0.33895875215530397,0.007184651214629412
25,0.3380844727158546,0.007268221117556095
30,0.3374486193060875,0.007219540420919657
35,0.3379315510392189,0.0071679637767374516
40,0.33777981251478195,0.007168008014559746
45,0.34187601655721667,0.007230029907077551
50,0.3378741666674614,0.007250739261507988
55,0.33711504340171816,0.0071739512495696545
60,0.3378921955823898,0.00718220230191946
65,0.33830961138010024,0.007169216871261597
70,0.3406685084104538,0.007168834563344717
75,0.3377924084663391,0.007184771820902824
80,0.3373371332883835,0.0071670240722596645
85,0.3433466911315918,0.007166767492890358
90,0.33707748651504515,0.007167242467403412
95,0.3379033461213112,0.007219563703984022
99,0.3401768982410431,0.007181265391409397
