node,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.738295860915057e-11,-1.084646911140846e-11,-8.079364999855274e-14,-7.966015985866526e-15,-1.721943599964793e-12,-2.167020003808829e-13,-4.503018226016146e-14,-3.441758082137865e-14
P2,-1.084646911140846e-11,2.585471733678708e-11,-1.076291231700769e-11,-7.797468584690595e-14,-8.869621187790062e-13,-7.097991379094781e-13,-1.493411343012917e-13,-1.951070259705785e-14
P3,-8.079364999855275e-14,-1.076291231700770e-11,2.585861956006977e-11,-1.081792553818133e-11,-1.897227613482353e-13,-7.579133142909945e-13,-7.065403415989818e-13,-1.695261731675222e-13
P4,-7.966015985866535e-15,-7.797468584690599e-14,-1.081792553818134e-11,1.766611471323728e-11,-3.333118621253935e-14,-1.984418939648564e-13,-8.869690933500175e-13,-1.573018644508973e-12
S1,-1.721943599964793e-12,-8.869621187790059e-13,-1.897227613482352e-13,-3.333118621253931e-14,1.877323797557635e-11,-1.350224122485857e-11,-4.224686619744157e-13,-2.817548184816814e-13
S2,-2.167020003808830e-13,-7.097991379094782e-13,-7.579133142909940e-13,-1.984418939648563e-13,-1.350224122485857e-11,2.964221705927719e-11,-1.323107305825481e-11,-4.326810145722823e-13
S3,-4.503018226016149e-14,-1.493411343012917e-13,-7.065403415989818e-13,-8.869690933500173e-13,-4.224686619744161e-13,-1.323107305825481e-11,2.963661650524721e-11,-1.354920084328006e-11
S4,-3.441758082137865e-14,-1.951070259705785e-14,-1.695261731675222e-13,-1.573018644508972e-12,-2.817548184816813e-13,-4.326810145722822e-13,-1.354920084328006e-11,1.840513384437712e-11
