frequency_hz,Y11_real_s,Y11_imag_s,Y12_real_s,Y12_imag_s,Y22_real_s,Y22_imag_s
10000.0,1.0771342815312783,-1.3713568364709356,4.307610356967265,-5.341932893948346,17.234148504499913,-21.941750736712493
10297.819839234799,1.0386873104462886,-1.3614013544436823,4.153875300963308,-5.306261276016,16.618996967140006,-21.782464255856297
10604.50934413376,1.0008054477799257,-1.350450907860175,4.002397667388237,-5.266489818459553,16.01288716447823,-21.60725837877868
10920.332670937145,0.963540048068408,-1.3385461914181702,3.8533830460172527,-5.222784768267983,15.416640769093789,-21.416784221736393
11245.561842982046,0.9269387252441472,-1.3257308370140262,3.7070220544294568,-5.17532402113844,14.831019603905602,-21.21173989619612
11580.476985000214,0.8910451706437046,-1.3120510214047636,3.563489610596787,-5.124295555002897,14.256722730298534,-20.992864231428683
11925.366564393718,0.855899017170775,-1.297555065462646,3.422944390061547,-5.069895829842975,13.694384274731576,-20.76093036258277
12280.527639696096,0.8215357490916952,-1.2822930309110054,3.2855284656140076,-5.012328177350395,13.144571985466214,-20.516739278460435
12646.266116433351,0.7879866561523832,-1.2663163201195387,3.1513671242275603,-4.951801202747706,12.607786498437164,-20.261113418241905
13022.897010605016,0.7552788300023119,-1.2496772841204287,3.0205688531953236,-4.888527219417096,12.084461280036038,-19.994890399744833
13410.74472001199,0.7234352003063522,-1.2324288435046196,2.8932254849931525,-4.822720734976727,11.574963204900584,-19.718916953765472
13810.143303665252,0.6924746074275072,-1.2146241262912607,2.7694124884026454,-4.7545970051787485,11.079593718839007,-19.434043129991892
14221.436769515964,0.6624119081767033,-1.196316126254458,2.649189391879816,-4.684370669567051,10.598590530826101,-19.14111683023239
14644.979370754474,0.633258110849809,-1.1775573845602985,2.5326003240518644,-4.612254480309322,10.132129773595722,-18.84097871460925
15081.135910933948,0.6050205356034155,-1.1583996969337162,2.419674655548982,-4.538458133082765,9.68032856965332,-18.534457516229963
15530.282058181197,0.5777029961525826,-1.1388938479552086,2.310427726105344,-4.463187206415924,9.243247938439978,-18.22236578993602
15992.804668765059,0.5513059987966815,-1.119089373497303,2.204861640954818,-4.386642213527823,8.82089598074539,-17.905496111287647
