noise_pct,fault_change_pct,fault_section,repeat,predicted_section,full_location_correct,predicted_group,true_group,group_location_correct,full_true_section_amplitude_error_pct,group_true_amplitude_error_pct,delta_cps1_pct,delta_cps2_pct,delta_cps3_pct,delta_cps4_pct
0.05,5.0,1,0,1,1,1,1,1,20.110468494336256,16.37370761058209,6.035323668103331,-0.42742967218005123,0.23329062975195802,0.08773095848525674
0.05,5.0,1,1,1,1,1,1,1,8.939180292777005,7.082336265032771,5.458951394861103,-0.4204475226357756,-0.057416856575758034,0.7505794790708649
0.05,5.0,1,2,1,1,1,1,1,1.4618799339284732,0.5218425216919891,4.925135071943316,-0.10948068526483637,-0.29805502847724336,0.7954683948150534
0.05,5.0,1,3,1,1,1,1,1,3.3926917341148517,1.1937059923769888,4.82633728556935,0.21327916970267616,-0.2836759767965107,0.32293177391557537
0.05,5.0,1,4,1,1,1,1,1,1.8714795816291137,0.11069823160154355,4.9041684726155745,0.5647379171133592,0.025218615119124398,-0.7872307199483262
0.05,5.0,1,5,1,1,1,1,1,4.312091357171269,2.8114763308168826,5.2211395710905215,-0.09819784376730323,0.10062072000163959,-0.11350791735515768
0.05,5.0,1,6,1,1,1,1,1,15.80393132143021,15.75398860564002,5.812759696055879,0.19051648533563997,0.048815545629203094,-0.4248565889454825
0.05,5.0,1,7,1,1,1,1,1,0.5552575476175563,0.7903415589269148,4.971558190524651,0.07884914617233454,0.018420743302103332,-0.16580891352200855
0.05,5.0,1,8,1,1,1,1,1,1.5189649608572988,1.1557774853055427,5.077844919384166,-0.25126917136613447,-0.1805342477656365,0.7854733980421593
0.05,5.0,1,9,1,1,1,1,1,0.5276970589164294,2.34883246702807,4.972969732370187,0.3426752665997636,-0.31148946995050375,0.1696969370114695
0.05,5.0,1,10,1,1,1,1,1,5.2035507620898205,5.687758082785571,5.266914881922832,-0.0691437426637092,-0.20369870434500092,0.5042034584778209
0.05,5.0,1,11,1,1,1,1,1,7.499456815474456,6.216496759219505,4.616507311543567,0.21547055459623482,-0.130257567390736,-0.011979873037582375
0.05,5.0,1,12,1,1,1,1,1,3.2248660355782555,3.807622569262551,4.834921072622141,1.0669807562584959,-0.4972276136227109,-0.37286519764837117
0.05,5.0,1,13,1,1,1,1,1,3.0169139828763383,5.231635809517207,5.154669320325192,0.034934564340643015,-0.4069586909139699,0.8907354233100372
