section,Cps1,Cps2,Cps3,Cps4
1,5.7672466281466366e-05,0.00017001449195883425,0.00023920562227008795,0.00011396936861002735
2,0.00017001449195883425,0.00528736681039267,0.008419281622494779,0.003754740037767472
3,0.00023920562227008795,0.008419281622494779,0.013533211561231696,0.006029277248794172
4,0.00011396936861002735,0.003754740037767472,0.006029277248794172,0.0027103282407843544
