case,n,method,scenario,budget,port_error_pct,node_voltage_error_pct,branch_current_error_pct,displacement_current_error_pct,solve_ms,c_keep,m_keep
0,4,distance,C_only,0.4,7.479334863102337e-05,6.109596522158277e-05,1.1221816003393926e-05,40.78924940547044,4.063349999341881,0.375,1.0
0,4,distance,M_only,0.4,97.12306476495668,6.679781851239976,97.28118557957228,6.440426146851726,3.8717999996151775,1.0,0.39285714285714285
0,4,distance,joint,0.4,97.12305338973229,6.679961307240975,97.28118650283321,41.19056316866345,3.8364499996532686,0.375,0.39285714285714285
0,4,distance,C_only,0.6,2.706124929600514e-05,1.7004513655960067e-05,3.288693801892356e-06,17.5814967623303,3.6160499994366546,0.625,1.0
0,4,distance,M_only,0.6,98.67529056491855,3.6516614369528084,98.63214699217386,4.584088328035356,3.871800000524672,1.0,0.6071428571428571
0,4,distance,joint,0.6,98.67528629684536,3.6517199484047427,98.63214706019173,18.15826331186764,4.292699999496108,0.625,0.6071428571428571
0,4,distance,C_only,0.8,8.850505129466085e-06,7.931937419251846e-06,1.7766453651606343e-06,10.751792063095742,4.495549999774084,0.8125,1.0
0,4,distance,M_only,0.8,98.69981633834747,4.824736786640161,98.7721181589621,5.578359836944511,4.157299998951203,1.0,0.7857142857142857
0,4,distance,joint,0.8,98.69981529188941,4.824767588426945,98.77211822780282,12.109072607005553,4.21849999929691,0.8125,0.7857142857142857
0,4,distance,C_only,0.9,4.932225371421948e-06,1.4798252452903525e-06,5.655986306542505e-07,5.564631750605993,4.22805000016524,0.875,1.0
0,4,distance,M_only,0.9,98.4839077203869,5.369681645929192,98.44289363501514,5.429488131416071,4.255400000147347,1.0,0.8928571428571428
0,4,distance,joint,0.9,98.48390661714335,5.369683429245232,98.44289363859721,7.769663077825227,8.007449999240634,0.875,0.8928571428571428
0,4,distance,C_only,0.95,3.153120254722264e-06,2.481640647172044e-07,5.307281462283704e-07,5.221587553976943,3.317250000691274,0.9375,1.0
0,4,distance,M_only,0.95,96.28462962109423,8.672731474088517,96.3801191845349,8.005757689125788,3.756650000468653,1.0,0.9642857142857142
