n,method,scenario,budget,count,port_error_pct_mean,port_error_pct_std,node_voltage_error_pct_mean,node_voltage_error_pct_std,branch_current_error_pct_mean,branch_current_error_pct_std,displacement_current_error_pct_mean,displacement_current_error_pct_std,solve_ms_mean,solve_ms_std
4,distance,C_only,0.4,2,4.478042806433519e-05,3.0012920566688186e-05,3.6021095607523064e-05,2.5074869614059704e-05,6.806406674293296e-06,4.41540932910063e-06,26.312045079258915,14.47720432621153,3.905474999555736,0.15787499978614505
4,distance,C_only,0.6,2,1.432750848253615e-05,1.2733740813468988e-05,8.952513102561876e-06,8.05200055339819e-06,1.7436731634402603e-06,1.5450206384520955e-06,9.414903113982199,8.166593648348101,3.418525000142836,0.19752499929381884
4,distance,C_only,0.8,2,4.573718024651943e-06,4.276787104814143e-06,4.152864398031244e-06,3.7790730212206028e-06,9.29781269616235e-07,8.468640955443993e-07,5.686333081118649,5.065458981977093,3.8581499998144864,0.6373999999595981
4,distance,C_only,0.9,2,2.501688032145798e-06,2.43053733927615e-06,7.482171203611892e-07,7.316081249291633e-07,2.8691771891387196e-07,2.7868091174037856e-07,2.8289032317484732,2.735728518857519,4.370475000087026,0.14242499992178637
4,distance,C_only,0.95,2,1.5981366102711548e-06,1.5549836444511093e-06,1.2571746996170363e-07,1.2244659475550076e-07,2.6923806883536155e-07,2.6149007739300884e-07,2.6546164975320274,2.566971056444915,3.328750000491709,0.011499999800435035
4,distance,C_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430149999734567,0.10049999991679215
4,distance,M_only,0.4,2,97.12188275210198,0.0011820128546915498,6.469649875371841,0.21013197586813437,97.28825049338272,0.007064913810431506,6.524991696402585,0.08456554955085904,3.6118499997428444,0.25994999987233314
4,distance,M_only,0.6,2,98.64935559072251,0.025934974196040628,4.692141820171968,1.0404803832191594,98.60271413105926,0.029432861114592868,5.679856873959858,1.0957685459245026,3.9039499997670646,0.03214999924239237
4,distance,M_only,0.8,2,98.69945106280122,0.000365275546265309,4.741959572010052,0.08277721463010845,98.77556876528354,0.003450606321443672,5.592370494411698,0.01401065746718766,4.060849999859784,0.09644999909141916
4,distance,M_only,0.9,2,98.48339158992172,0.0005161304651650767,5.284420427091014,0.08526121883817783,98.44006456277549,0.002829072239649122,5.451461350568881,0.021973219152809254,3.9116250000006403,0.3437750001467066
4,distance,M_only,0.95,2,96.2826908568366,0.0019387642576305097,8.392707695781048,0.2800237783074673,96.38299402180417,0.002874837269267516,8.11126950729754,0.1055118181717507,5.395625000346627,1.6389749998779735
4,distance,M_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024925000270741,1.635874999465159
4,distance,joint,0.4,2,97.12187600214531,0.0011773875869778294,6.4697666862993195,0.21019462094165542,97.28825105513084,0.007064552297642024,27.35980395012077,13.830759218542681,3.621774999828631,0.21467499982463778
4,distance,joint,0.6,2,98.6493532937634,0.025933003081966888,4.692172168190057,1.0404522197853139,98.60271416781826,0.029432892373463915,12.523714351892416,5.6345489599752225,4.07447499992486,0.2182249995712482
4,distance,joint,0.8,2,98.69945053069694,0.00036476119247197403,4.741975883558091,0.08279170486885379,98.77556880165844,0.003450573855609207,8.874870298044486,3.2342023089610663,4.139324999414384,0.0791749998825253
4,distance,joint,0.9,2,98.48339102986796,0.00051558727539458,5.284421336392999,0.0852620928522323,98.44006456461182,0.0028290739854028857,6.6219446006257145,1.1477184771995121,5.889824999485427,2.1176249997552077
4,distance,joint,0.95,2,96.28269085514431,0.0019387626115445755,8.392708821612358,0.2800248663876985,96.38299403573271,0.0028748237513624986,8.88728053993239,0.6700314558774574,5.659050000758725,1.6817499999888241
4,distance,joint,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6986999998589454,0.2424999997856503
4,magnitude,C_only,0.4,2,5.5115016314728855e-05,3.8885266917924305e-05,3.6818763822612865e-05,2.6659872488837336e-05,6.423468272502811e-06,4.388790109651358e-06,28.042565675676524,16.098319797018963,4.912875000172789,0.882575000559882
4,magnitude,C_only,0.6,2,1.432750848253615e-05,1.2733740813468988e-05,8.952513102561876e-06,8.05200055339819e-06,1.7436731634402603e-06,1.5450206384520955e-06,9.414903113982199,8.166593648348101,4.200325000510929,0.6438249997700041
4,magnitude,C_only,0.8,2,6.5336267425114e-06,5.996816671608421e-06,8.875283120466498e-07,8.422204922594014e-07,8.962118689637371e-07,8.078876616914384e-07,6.7263465494541546,5.902204914022404,3.2229249995907594,0.02732499933699728
4,magnitude,C_only,0.9,2,2.501688032145798e-06,2.43053733927615e-06,7.482171203611892e-07,7.316081249291633e-07,2.8691771891387196e-07,2.7868091174037856e-07,2.8289032317484732,2.735728518857519,3.7252749998515355,0.37032500040368177
4,magnitude,C_only,0.95,2,1.5981366102711548e-06,1.5549836444511093e-06,1.2571746996170363e-07,1.2244659475550076e-07,2.6923806883536155e-07,2.6149007739300884e-07,2.6546164975320274,2.566971056444915,3.6988000001656474,0.14370000008057104
4,magnitude,C_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.90987499986295,0.20777500003532623
4,magnitude,M_only,0.4,2,98.11942655375108,0.00041075482396735197,12.699250962879288,0.5930478365067238,98.75282428511738,0.031879162135084016,10.95823871104863,0.4648284960048006,4.227599999921949,0.31934999924487784
4,magnitude,M_only,0.6,2,97.84064345378957,0.0006393414006282683,17.245857370848633,0.6853365985577238,98.1795464291132,0.01656840832405493,13.390794642226611,0.32423095383082234,4.046975000619568,0.16932500011535012
4,magnitude,M_only,0.8,2,518.0960992418977,34.738332635252334,0.000675323336369127,0.00020420699435630277,241.36667087919966,18.235194040904062,0.0034224725446858266,0.0011085756189381812,3.646774999651825,0.052725000386999454
4,magnitude,M_only,0.9,2,75.91713425050767,0.04987265309920019,26.184020068218096,0.8931340577630049,76.11187439069553,0.04796095628014285,21.008893703648944,0.5275608465659154,3.698200000144425,0.387399999453919
4,magnitude,M_only,0.95,2,76.57555771275578,0.04876572228783971,16.76390799698373,0.567584204532924,76.5961518457211,0.05545479855601343,13.869379997088148,0.03672153909043274,4.348224999830563,0.010125000244443072
4,magnitude,M_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97945000031541,0.27060000002165907
4,magnitude,joint,0.4,2,98.11942396611218,0.00040891425499012257,12.69925685980662,0.5930525468361276,98.75282243420075,0.031880361312332184,30.556463242982446,14.71445188870411,5.248899999514833,1.021399999899586
4,magnitude,joint,0.6,2,97.84064295263727,0.0006388932104144374,17.245858124612454,0.6853372855828912,98.17954606933881,0.016568715790867827,17.645702716894554,4.522447141422835,3.765000000839791,0.0934499998948013
4,magnitude,joint,0.8,2,518.0960991458901,34.73833254379673,0.0006560640017844147,0.0001863516040153186,241.3666708791996,18.235194040904062,6.726348529807866,5.902203670729904,3.6905250003655965,0.5120749997331586
