,P1,P2,P3,P4,S1,S2,S3,S4
P1,1.4023602516715356e-11,-7.182218936622014e-12,-0.0,-0.0,-1.917373667052743e-12,-4.887061071020734e-13,-6.757920382674546e-14,-2.4163071360219843e-14
P2,-7.182218936622014e-12,1.8824529290671878e-11,-7.110514383902727e-12,-0.0,-4.61265674976471e-13,-1.028787898199976e-12,-4.2198143209491174e-13,-5.034228572528569e-14
P3,-0.0,-7.110514383902727e-12,1.88461080640674e-11,-7.203302075858238e-12,-5.035676830507877e-14,-4.218156092071049e-13,-1.029013658435697e-12,-4.610259510629337e-13
P4,-0.0,-0.0,-7.203302075858238e-12,1.4043630297767297e-11,-2.413279222794811e-14,-6.755839782298873e-14,-4.890299630796888e-13,-1.916917982850679e-12
S1,-1.917373667052743e-12,-4.61265674976471e-13,-5.035676830507877e-14,-2.413279222794811e-14,1.3783227366201332e-11,-9.296702896994868e-12,-0.0,-0.0
S2,-4.887061071020734e-13,-1.028787898199976e-12,-4.218156092071049e-13,-6.755839782298873e-14,-9.296702896994868e-12,2.0923478359716888e-11,-8.985110206673621e-12,-0.0
S3,-6.757920382674546e-14,-4.2198143209491174e-13,-1.029013658435697e-12,-4.890299630796888e-13,-0.0,-8.985110206673621e-12,2.0926437889669265e-11,-9.299080140837568e-12
S4,-2.4163071360219843e-14,-5.034228572528569e-14,-4.610259510629337e-13,-1.916917982850679e-12,-0.0,-0.0,-9.299080140837568e-12,1.3786215938810568e-11
