frequency_hz,abs_zin_full_ohm,abs_zin_literature_ohm,abs_ips_full_a,abs_ips_literature_a
1000.0,0.011882261722985813,0.011882261722933232,3.502523237751366e-08,3.502523237751474e-08
1039.122303835169,0.01203611987649718,0.012036119876437736,3.639530113668801e-08,3.6395301136689236e-08
1079.7751623277093,0.012200073579326088,0.012200073579258846,3.781895715715324e-08,3.7818957157154634e-08
1122.018454301963,0.012374667861239419,0.012374667861163317,3.9298296034442286e-08,3.929829603444386e-08
1165.9144011798323,0.01256046567879015,0.012560465678704,4.0835495240813085e-08,4.083549524081486e-08
1211.5276586285888,0.012758047706586898,0.012758047706489398,4.2432817311439726e-08,4.243281731144175e-08
1258.9254117941675,0.012968012122556149,0.012968012122445758,4.409261315373714e-08,4.4092613153739414e-08
1308.1774742601942,0.01319097440055121,0.013190974400426245,4.5817325484633183e-08,4.581732548463579e-08
1359.3563908785254,0.013427567124482958,0.013427567124341467,4.760949240079449e-08,4.7609492400797426e-08
1412.537544622754,0.013678439838607281,0.013678439838447078,4.9471751087005826e-08,4.947175108700916e-08
1467.799267622069,0.013944258948676957,0.013944258948495533,5.1406841668108226e-08,5.140684166811198e-08
1525.2229565390182,0.014225707688338097,0.014225707688132748,5.341761121011172e-08,5.341761121011598e-08
1584.893192461114,0.014523486164431174,0.014523486164198685,5.550701787632354e-08,5.550701787632835e-08
1646.8978654828688,0.014838311493770703,0.014838311493507568,5.767813524456625e-08,5.76781352445717e-08
1711.328304161781,0.015170918042571329,0.015170918042273588,5.993415679181328e-08,5.99341567918194e-08
1778.2794100389228,0.015522057778018265,0.015522057777681385,6.22784005528335e-08,6.227840055284046e-08
1847.8497974222907,0.01589250073961998,0.015892500739238927,6.471431395972581e-08,6.471431395973365e-08
1920.141938638801,0.016283035636008907,0.016283035635577932,6.724547886952897e-08,6.724547886953781e-08
1995.2623149688789,0.016694470570848052,0.016694470570360824,6.98756167874254e-08,6.98756167874354e-08
2073.321573485954,0.017127633899541937,0.017127633898991225,7.260859429341212e-08,7.260859429342338e-08
2154.4346900318847,0.017583375216603123,0.017583375215980815,7.544842868069561e-08,7.54484286807083e-08
2238.72113856834,0.018062566471858273,0.018062566471155242,7.839929381448179e-08,7.839929381449611e-08
2326.305067153626,0.018566103212233884,0.018566103211439953,8.146552622027449e-08,8.146552622029068e-08
2417.3154808041036,0.019094905944676634,0.019094905943780254,8.465163141127123e-08,8.465163141128939e-08
2511.88643150958,0.019649921614858856,0.019649921613847036,8.79622904649538e-08,8.796229046497423e-08
2610.157215682536,0.02023212519569716,0.020232125194555486,9.14023668595106e-08,9.140236685953364e-08
2712.2725793320296,0.02084252137936867,0.02084252137808068,9.497691358129889e-08,9.497691358132483e-08
2818.382931264455,0.021482146366423517,0.02148214636497094,9.869118051515392e-08,9.869118051518309e-08
2928.6445646252373,0.022152069745743186,0.02215206974410541,1.0255062212998022e-07,1.0255062213001301e-07
3043.219887107722,0.02285339645944303,0.022853396457596997,1.065609054727012e-07,1.065609054727381e-07
3162.2776601683795,0.023587268847338663,0.023587268845258358,1.107279184843062e-07,1.1072791848434768e-07
3285.9932476006543,0.024354868766242255,0.024354868763898526,1.1505777865239374e-07,1.1505777865244036e-07
3414.5488738336007,0.02515741978010419,0.025157419777464187,1.195568420152688e-07,1.1955684201532118e-07
3548.133892335753,0.025996189417820698,0.025996189414847805,1.242317125332874e-07,1.2423171253334632e-07
3686.9450645195734,0.0268724914963735,0.0268724914930263,1.290892518437472e-07,1.2908925184381336e-07
3831.186849557289,0.027787688507812228,0.02778768850404449,1.3413658941617632e-07,1.341365894162506e-07
3981.0717055349733,0.02874319406943308,0.028743194065192917,1.3938113312536427e-07,1.3938113312544775e-07
4136.820402388507,0.029740475437306842,0.029740475432535697,1.4483058025988794e-07,1.4483058025998162e-07
4298.662347082277,0.030781056084075328,0.03078105607870779,1.504929289841977e-07,1.5049292898430292e-07
4466.835921509631,0.03186651834264826,0.03186651833661085,1.56376490272543e-07,1.5637649027266112e-07
4641.588833612777,0.0329985061180844,0.03299850611129443,1.6248990033311096e-07,1.6248990033324354e-07
4823.178482239309,0.03417872767054081,0.034178727662905854,1.6884213354074128e-07,1.6884213354089012e-07
5011.872336272725,0.03540895847271122,0.035408958464127206,1.75442515896463e-07,1.7544251589663e-07
5207.948328595465,0.03669104414565677,0.03669104413600714,1.8230073903190388e-07,1.8230073903209134e-07
5411.6952654646375,0.03802690347736186,0.038026903466515424,1.8942687477636108e-07,1.8942687477657128e-07
5623.413251903491,0.03941853152873149,0.039418531516541594,1.9683139030405175e-07,1.9683139030428768e-07
5843.414133735175,0.04086800283208445,0.040868002818386,2.045251638788211e-07,2.0452516387908565e-07
6072.021956909884,0.042377474687495593,0.04237747467210376,2.1251950121342392e-07,2.125195012137207e-07
6309.57344480193,0.04394919056261857,0.04394919054532549,2.2082615246049647e-07,2.2082615246082927e-07
6556.418494179785,0.04558548360185285,0.045585483582425534,2.2945732985253608e-07,2.294573298529093e-07
