scenario,added_cps_pf,true_cps_pf,repeats,model_only_3p_mean_cps_pf,model_only_3p_std_cps_pf,model_only_3p_mean_error_pct,model_only_3p_mae_pct,reconstructed_2p_mean_cps_pf,reconstructed_2p_std_cps_pf,reconstructed_2p_mean_error_pct,reconstructed_2p_mae_pct,reconstructed_3p_mean_cps_pf,reconstructed_3p_std_cps_pf,reconstructed_3p_mean_error_pct,reconstructed_3p_mae_pct,mean_log_residual_3p,std_log_residual_3p,mean_valid_frequency_count,median_excitation_condition
combined_mismatch,0.0,28.36,5,27.192226234066926,0.1477295243450391,-4.117679005405769,4.117679005405769,26.560523347207656,0.5290256749976391,-6.345122188971581,6.345122188971581,26.560517257458873,0.529032846422721,-6.345143661992689,6.345143661992689,-0.06571435975695848,0.020084026546443992,2756.8,2.353724261808382
combined_mismatch,2.5,30.859999999999996,5,29.336266733345628,0.3721048427158809,-4.937567293112007,4.937567293112007,28.90595820303252,0.5087115745882007,-6.331956568267899,6.331956568267899,28.90594877094822,0.5087165625747043,-6.331987132377764,6.331987132377764,-0.06553796328264101,0.017666999640204472,2757.4,2.3549395823938264
combined_mismatch,5.0,33.36,5,32.04668012812651,0.19472175212513515,-3.9368101674864606,3.9368101674864606,31.68479993059284,0.1691255753980687,-5.021582941867993,5.021582941867993,31.684796780926682,0.1691272567456091,-5.021592383313293,5.021592383313293,-0.05153199722449968,0.00533495573503653,2758.0,2.3543333774287056
combined_mismatch,10.0,38.36,5,36.747627498272465,0.23187035191672117,-4.203265124420056,4.203265124420056,36.382662302739824,0.2592172317501912,-5.154686384932686,5.154686384932686,36.382657909049776,0.2592188625383736,-5.15469783876492,5.15469783876492,-0.05294331311059517,0.007121656522417625,2757.0,2.3550732529730762
combined_mismatch,20.0,48.36,5,47.6272125725374,0.9756529865153101,-1.515275904595935,1.7421178746357349,47.10119590385044,0.9830995587533408,-2.6029861376128336,2.6029861376128336,47.101201947610036,0.9831027189999892,-2.602973640177745,2.602973640177745,-0.026549353945484237,0.0209251908295933,2756.8,2.3551177601855375
copper_dispersion,0.0,28.36,5,27.37297464282089,0.03224614472028944,-3.4803432904764096,3.4803432904764096,27.36046078147707,0.08492846686536915,-3.5244683304757807,3.5244683304757807,27.360460709803682,0.08492851903625065,-3.524468583202821,3.524468583202821,-0.035884630444601696,0.003107759839312993,2803.8,2.37569246013644
copper_dispersion,2.5,30.859999999999996,5,29.817594854621838,0.03321710577945198,-3.377852058905243,3.377852058905243,29.812549533273778,0.06473868581024074,-3.394201123545738,3.394201123545738,29.81254944150225,0.06473871731957596,-3.394201420925943,3.394201420925943,-0.03453330688936521,0.0021722227843614227,2805.6,2.3770115551896653
copper_dispersion,5.0,33.36,5,32.26916072526198,0.02372036255433207,-3.269901902691904,3.269901902691904,32.30329351559383,0.029396931369753448,-3.1675853849105784,3.1675853849105784,32.30329346324693,0.029397022807453144,-3.167585541825763,3.167585541825763,-0.03218871888000919,0.0009099561920417024,2805.2,2.3760261157536635
copper_dispersion,10.0,38.36,5,37.15127034099284,0.03215487757367873,-3.1510157951177424,3.1510157951177424,37.14668773252652,0.029077910632339932,-3.162962115415744,3.162962115415744,37.14668757589875,0.029077832704237125,-3.162962523725885,3.162962523725885,-0.03214089147066361,0.0007828834849643027,2804.0,2.380961297277743
copper_dispersion,20.0,48.36,5,46.91285209958411,0.03361694501698544,-2.9924480984613098,2.9924480984613098,46.89064590723022,0.058375965288343795,-3.038366610359346,3.038366610359346,46.890645853037014,0.058376176204275265,-3.0383667224213946,3.0383667224213946,-0.030855438418903536,0.0012442143777884412,2805.0,2.3756444200508846
dielectric_loss,0.0,28.36,5,28.367556759688377,0.008640619629290747,0.026645838111326654,0.0318596239120572,28.341023922469777,0.07846635430640894,-0.06691141583293274,0.21913774687929197,28.341024175796825,0.07846622616937605,-0.06691052257819631,0.21913660852866146,-0.0006723955146020201,0.0027687670337832983,2804.0,2.375165264530917
dielectric_loss,2.5,30.859999999999996,5,30.866563423054107,0.0005474317047526755,0.021268383195437945,0.021268383195437945,30.867513088873682,0.052103379424039815,0.024345718968533242,0.13841616733524648,30.867513341463575,0.05210343096797128,0.02434653747108621,0.1384160951956108,0.00024229631261149363,0.0016876724391527485,2804.8,2.3746337603281624
dielectric_loss,5.0,33.36,5,33.36456789159643,0.006981066602394118,0.013692720612800446,0.021076586377449098,33.34852463130088,0.05678102138350785,-0.034398587227558855,0.1315541179341602,33.34852511342854,0.05678137450353039,-0.03439714200077594,0.1315540924550945,-0.00034518915812721134,0.001701496575648717,2803.8,2.376081860891748
dielectric_loss,10.0,38.36,5,38.37148602254789,0.013740780953339032,0.029942707371966682,0.029942707371966682,38.35929516687776,0.05830606275091503,-0.0018374168984376968,0.10323617273950907,38.35929553137133,0.05830606167149494,-0.0018364667066375902,0.10323617393932975,-1.928809587621894e-05,0.0015188907776205061,2803.2,2.375635387410325
dielectric_loss,20.0,48.36,5,48.37478858988131,0.023657468441371055,0.030580210672701853,0.04898621901859452,48.39875153285543,0.044263172585937344,0.0801313748044489,0.09847337163098033,48.39875258358273,0.04426015214335352,0.0801335475242418,0.09847228791147597,0.0008006799847281858,0.0009146458045980109,2804.4,2.3762625621485123
matched_control,0.0,28.36,5,28.36000000000005,3.972054645195637e-15,1.6285358894360547e-13,1.6285358894360547e-13,28.33504241441675,0.04776871335417574,-0.08800277003966732,0.15383172612507456,28.335042410745423,0.04776871508679201,-0.08800278298511206,0.15383172916858515,-0.0008815514850822433,0.0016851448049591687,2803.8,2.375655827872226
matched_control,2.5,30.859999999999996,5,30.860000000000042,0.0,1.4966065400002112e-13,1.4966065400002112e-13,30.848110664264787,0.03324962529150904,-0.038526687411556806,0.08705400084995589,30.848110669489586,0.03324961971859652,-0.03852667048090982,0.08705398379836927,-0.00038580552699161243,0.0010776479043221171,2804.6,2.375672951126587
