scenario,model_only_3p_mae_pct,reconstructed_2p_mae_pct,reconstructed_3p_mae_pct,mean_abs_log_residual_3p
combined_mismatch,3.7874878930120053,5.091266844330599,5.091278931325283,0.05245539746403571
copper_dispersion,3.2543122291305218,3.2575167129414373,3.2575169584203607,0.03312059722070865
dielectric_loss,0.03062670397510109,0.13816351530383758,0.1381630516060345,0.0004159698131890259
matched_control,9.39757440254176e-14,0.08633767775396554,0.08633765840447864,0.00039924376330461057
probe_mismatch,9.39757440254176e-14,0.8574760891692023,0.8570940694660928,0.008608804975810984
secondary_mode,1.612824779235749,1.6550681930959161,1.6541121772563696,0.015323603232131116
