scenario,added_cps_pf,repeat,true_cps_pf,model_only_3p_cps_pf,model_only_3p_ls_uh,model_only_3p_rs_ohm,reconstructed_2p_cps_pf,reconstructed_2p_ls_uh,reconstructed_2p_cost_rms,reconstructed_3p_cps_pf,reconstructed_3p_ls_uh,reconstructed_3p_rs_ohm,reconstructed_3p_cost_rms,log_residual_3p,valid_frequency_count,median_excitation_condition,median_sigma_ratio
matched_control,0.0,0,28.36,28.360000000000046,96.00000000000003,0.09500000000000001,28.361894574506973,95.99875394645265,9.016554428394077e-05,28.36189456982135,95.998753947072,0.09514200560116201,9.016553680622553e-05,6.68020642267176e-05,2803,2.3778183249993345,0.6485010224697675
matched_control,0.0,1,28.36,28.360000000000046,96.00000000000003,0.09500000000000001,28.2895087451305,95.99956311065066,9.917319329922218e-05,28.28950872636138,95.99956311016533,0.09531423703590503,9.917316005309185e-05,-0.002488682130030509,2805,2.375655827872226,0.6487961120591238
matched_control,0.0,2,28.36,28.360000000000046,96.00000000000003,0.09500000000000001,28.30038552560685,96.00068361558885,9.02063407042592e-05,28.300385531797893,96.00068361503583,0.09473932614976815,9.020631554831912e-05,-0.002104274075799798,2806,2.378904365275708,0.6483530313458137
matched_control,0.0,3,28.36,28.360000000000046,96.00000000000003,0.09500000000000001,28.318645071481846,95.99868794423607,0.00010893047306652985,28.318645072723754,95.99868794474764,0.095135144640373,0.00010893046745985287,-0.0014592774602119687,2801,2.370774368868257,0.6494637089167293
matched_control,0.0,4,28.36,28.360000000000046,96.00000000000003,0.09500000000000001,28.40477815535758,95.99737990961073,8.381713104254449e-05,28.404778153022733,95.99737990973249,0.0952995121897553,8.381709527973755e-05,0.0015776741764043406,2804,2.3732527029454555,0.6491245102508605
matched_control,2.5,0,30.859999999999996,30.860000000000042,96.00000000000003,0.09500000000000001,30.845997564504152,96.0002948485676,8.79828585877372e-05,30.84599757189525,96.00029484740304,0.09462511717362194,8.798280524393521e-05,-0.00045384335060059863,2805,2.3737879886875968,0.6490513177708319
matched_control,2.5,1,30.859999999999996,30.860000000000042,96.00000000000003,0.09500000000000001,30.807879505179063,95.9999433245626,8.325148142836817e-05,30.807879523157467,95.99994332673941,0.09536265700900942,8.325142863646258e-05,-0.0016903610001173391,2804,2.3772170468995792,0.6485831280123957
matched_control,2.5,2,30.859999999999996,30.860000000000042,96.00000000000003,0.09500000000000001,30.831551879253404,95.99843171303048,8.16508217129212e-05,30.831551879475104,95.99843171289697,0.09488945657753273,8.165081671450125e-05,-0.0009222696357817721,2805,2.379521509681648,0.6482688928759375
matched_control,2.5,3,30.859999999999996,30.860000000000042,96.00000000000003,0.09500000000000001,30.857685550069608,95.99989565625947,0.000104459808071539,30.8576855506957,95.9998956562322,0.09503020898680836,0.0001044598077796563,-7.500116975331802e-05,2804,2.3750570565992817,0.6488778905550426
matched_control,2.5,4,30.859999999999996,30.860000000000042,96.00000000000003,0.09500000000000001,30.89743882231772,95.99864174214744,9.622889648491979e-05,30.897438822224416,95.99864174289505,0.09486410583056863,9.622889007662638e-05,0.0012124475212949657,2805,2.375672951126587,0.6487937738751437
