added_cps_pf,repeat,cps_true_pf,cps_est_pf,cps_error_pct,fzero_true_hz,fzero_est_hz,fzero_raw_hz
0.0,1,28.36,28.342223883343586,-0.06268024208891076,6100443.33597391,6102356.121550608,6193351.745605469
0.0,2,28.36,28.071927622624106,-1.0157700189559051,6100443.33597391,6131664.627946763,6122207.6416015625
0.0,3,28.36,28.345891692113433,-0.04974720693428979,6100443.33597391,6101961.302441963,5558395.3857421875
0.0,4,28.36,28.105045540173514,-0.898993158767584,6100443.33597391,6128050.902780169,5813789.367675781
0.0,5,28.36,28.01551232858304,-1.21469559737997,6100443.33597391,6137835.239570692,5916595.458984375
0.0,6,28.36,28.34866546210292,-0.03996663574427393,6100443.33597391,6101662.772495339,5044174.1943359375
0.0,7,28.36,28.10127105469607,-0.9123023459235893,6100443.33597391,6128462.440437081,5816078.186035156
0.0,8,28.36,28.34707213284081,-0.04558486304368873,6100443.33597391,6101834.250896855,6679344.177246094
2.5,1,30.859999999999996,30.668896953792746,-0.6192580888115713,5848123.695185626,5866315.720125496,5793571.472167969
2.5,2,30.859999999999996,30.68349040726911,-0.5719688682141492,5848123.695185626,5864920.507486728,5391502.380371094
2.5,3,30.859999999999996,30.691799339515626,-0.5450442659895337,5848123.695185626,5864126.573491788,6079292.297363281
2.5,4,30.859999999999996,30.59811717082503,-0.8486157782727352,5848123.695185626,5873096.802569616,5719947.814941406
2.5,5,30.859999999999996,30.74077611473423,-0.3863379302195864,5848123.695185626,5859453.293697603,5588531.494140625
2.5,6,30.859999999999996,30.695341306147377,-0.5335667331581989,5848123.695185626,5863788.229968279,5521965.026855469
2.5,7,30.859999999999996,30.720954862390368,-0.450567523038328,5848123.695185626,5861343.257325832,6326484.680175781
2.5,8,30.859999999999996,30.754322358445318,-0.34244213076693997,5848123.695185626,5858162.70560273,6001091.003417969
5.0,1,33.36,33.40946918634199,0.14828892788365605,5624727.534766308,5620561.743171136,5506706.237792969
5.0,2,33.36,33.39091803218891,0.092679952604632,5624727.534766308,5622122.847736889,5113792.419433594
5.0,3,33.36,33.387222272628044,0.08160153665479333,5624727.534766308,5622434.006286251,5318832.3974609375
5.0,4,33.36,33.40982982557369,0.14936998073646762,5624727.534766308,5620531.407779585,5373001.0986328125
5.0,5,33.36,33.39831243973738,0.11484544285784654,5624727.534766308,5621500.4425033135,5994224.548339844
5.0,6,33.36,33.41828824457721,0.17472495376860736,5624727.534766308,5619820.063471103,5220031.73828125
5.0,7,33.36,33.40897443436837,0.14680585841835778,5624727.534766308,5620603.360337891,5917358.3984375
5.0,8,33.36,33.38106575589006,0.06314675026997103,5624727.534766308,5622952.459074171,5608367.919921875
10.0,1,38.36,38.79797290535593,1.1417437574450644,5245358.9304784825,5215668.651063689,5212783.8134765625
10.0,2,38.36,38.70799537204232,0.9071829302458809,5245358.9304784825,5221727.097019035,5336952.209472656
10.0,3,38.36,38.727039804786315,0.9568295223835176,5245358.9304784825,5220443.019281908,4948234.558105469
10.0,4,38.36,38.69908451502618,0.8839533759806625,5245358.9304784825,5222328.240249235,4920578.0029296875
10.0,5,38.36,38.684359414624865,0.8455667743088237,5245358.9304784825,5223322.07848699,5210113.525390625
10.0,6,38.36,38.84109123098224,1.254148151674248,5245358.9304784825,5212772.834534823,5143547.058105469
10.0,7,38.36,38.76836791538198,1.0645670369707485,5245358.9304784825,5217659.711809616,4769515.9912109375
10.0,8,38.36,38.712148976546786,0.9180108877653553,5245358.9304784825,5221446.957946757,5467605.5908203125
20.0,1,48.36,49.21239194991491,1.762597084191285,4671661.474471213,4631026.579967252,4415702.819824219
20.0,2,48.36,48.76188454537904,0.8310267687738561,4671661.474471213,4652370.249283324,4801559.4482421875
20.0,3,48.36,49.2759226238856,1.8939673777617794,4671661.474471213,4628040.262145916,4411888.122558594
20.0,4,48.36,48.677681112433795,0.6569088346439044,4671661.474471213,4656392.382957419,4385185.241699219
20.0,5,48.36,49.8629828516233,3.107904986814101,4671661.474471213,4600715.555657399,4848670.959472656
20.0,6,48.36,49.238580225182794,1.8167498452911335,4671661.474471213,4629794.875798048,4750633.239746094
20.0,7,48.36,49.2101951841925,1.7580545578835804,4671661.474471213,4631129.944390822,4962730.407714844
20.0,8,48.36,48.62083117621657,0.5393531352699948,4671661.474471213,4659113.832478694,4650878.90625
