variant,condition,target_f1_Hz,target_f2_Hz,pred_f1_Hz,pred_f2_Hz,errPct_f1,errPct_f2
leakage_referred_to_HV,no_winding_grounded,2500,74000,2484.16035818525,74510.0136603933,-0.633585672590125,0.689207649180202
leakage_referred_to_HV,lv_winding_grounded,2500,74000,2484.16035818525,74510.0136603933,-0.633585672590125,0.689207649180202
leakage_referred_to_HV,hv_winding_grounded,2000,60000,1989.6293058703,59677.0278017858,-0.518534706484843,-0.538286997023618
leakage_referred_to_HV,both_windings_grounded,1800,53000,1799.35129922602,53744.2453450081,-0.0360389318878636,1.40423650001524
leakage_referred_to_LV,no_winding_grounded,2500,74000,7992.5072288762,20000.7338152875,219.700289155048,-72.9719813306926
leakage_referred_to_LV,lv_winding_grounded,2500,74000,7992.5072288762,20000.7338152875,219.700289155048,-72.9719813306926
leakage_referred_to_LV,hv_winding_grounded,2000,60000,7992.5072288762,20000.7338152875,299.62536144381,-66.6654436411875
leakage_referred_to_LV,both_windings_grounded,1800,53000,7992.5072288762,20000.7338152875,344.028179382011,-62.26276638625
