method,K,cost,meanResponseErrPct,hat_Lsigma,errPct_Lsigma,hat_Cps,errPct_Cps,hat_Cg1,errPct_Cg1,hat_Cg2,errPct_Cg2,hat_Rac,errPct_Rac
offline_full_sweep,300,1851.56937348874,0.399671260584073,1.99580909346879e-06,-0.209545326560441,8.60360833100756e-11,1.21892154126537,9.50594293590469e-11,0.0625572200493885,1.49454222174876e-10,-0.363851883415799,0.119992399636218,-0.00633363648461921
offline_feature_points,54,22.3392774317087,0.0348070462993353,1.99928950510016e-06,-0.0355247449917857,8.50379002727082e-11,0.0445885561272754,9.50554344335455e-11,0.058352035311101,1.50063770214264e-10,0.0425134761759412,0.119977604957517,-0.0186625354023362
pulse_fft_full_valid,193,2130.98972347144,25.406807782903,2.00215621248381e-06,0.107810624190506,7.72624010345224e-12,-90.9103057606444,8.8243109209779e-11,-7.11251662128527,1.56823202084633e-10,4.548801389755,0.119956639586203,-0.0361336781639493
pulse_fft_feature_points,54,6333.73358647457,429.596402994137,1.99834033053095e-06,-0.0829834734526506,1.72037847554519e-10,102.397467711199,1.02562198506353e-10,7.9602089540563,1.42558698483404e-10,-4.96086767773048,0.119923804623113,-0.0634961474056672
pulse_fft_reliable_features,54,1088.66582534072,26.1410461545942,2.00934838861943e-06,0.467419430971645,1.36607598984146e-11,-83.928517766571,9.52022959121307e-11,0.212943065400765,1.50056943335071e-10,0.0379622233809842,0.119957185420856,-0.035678815953182
