strategy,K,lambdaMinNominal,condNominal,detNominal,lambdaMinPrior,condPrior,fMinHz,fMaxHz
eopt_prior_avg,20,0.0347124133592162,156317194.1549,8.53402762952525e+18,0.667682647898676,112528393.267757,14919.1875574557,10000000
eopt_nominal,20,0.0347567311083456,154924611.046758,1.19551934007705e+18,0.664527971736023,113074363.930431,22061.2107593732,10000000
log_uniform,20,0.000163183367975346,4292664338.51684,885750592504098,0.0965019516359751,197539046.686309,1000,10000000
eopt_prior_avg,40,0.0348710741720054,170445185.984333,2.09158072639608e+20,0.670339548280125,112982650.186518,14919.1875574557,10000000
eopt_nominal,40,0.0349542896212603,157368894.877348,6.71109402668217e+18,0.668352274254513,112637696.909644,15459.2773641948,10000000
log_uniform,40,0.0107548461242417,258884230.832663,1.70025992345152e+19,0.104966708405806,190888495.421735,1000,10000000
eopt_prior_avg,80,0.0350013828949221,196175196.64511,1.01837683310779e+21,0.6708525754209,114182853.356033,2520.83489242513,10000000
eopt_nominal,80,0.035061686514646,182592269.204556,1.35355721816201e+20,0.67053683770832,113531006.826003,1000,10000000
log_uniform,80,0.0114028599944294,368226575.693936,1.08821317932514e+20,0.486908093235537,108796122.825637,1000,10000000
