condition,method,paper_f1_Hz,paper_f2_Hz,sweep_f1_Hz,sweep_f2_Hz,online_f1_Hz,online_f2_Hz,errPct_f1_vs_sweep,errPct_f2_vs_sweep,errPct_f1_vs_paper,errPct_f2_vs_paper,bandEnergy_f1,bandEnergy_f2,coverage_f1,coverage_f2
no_winding_grounded,single_steep_pulse,2500,74000,2487.61321867943,74481.543020819,2798.3695208807,NaN,12.4921470857209,NaN,11.9347808352279,NaN,0.00016568349598993,8.31672288225347e-08,0.991014120667522,0
no_winding_grounded,conventional_20k_pwm,2500,74000,2487.61321867943,74481.543020819,NaN,79078.4610122084,NaN,6.17188877263785,NaN,6.86278515163297,5.74528683190221e-08,0.0001076107178301,0,0.0511811023622047
no_winding_grounded,random_prbs,2500,74000,2487.61321867943,74481.543020819,2513.43269389698,74481.543020819,1.03792161191606,0,0.537307755879319,0.650733811917618,0.433467853836205,0.196748395000905,1,1
no_winding_grounded,targeted_binary_pwm,2500,74000,2487.61321867943,74481.543020819,2309.37865182859,74481.543020819,-7.16488260765298,0,-7.62485392685641,0.650733811917618,0.00342919289422695,3.14737677369682e-05,1,1
no_winding_grounded,dual_window_targeted,2500,74000,2487.61321867943,74481.543020819,2494.2215330561,74489.9567237661,0.265648788447211,0.0112963596158207,-0.23113867775588,0.662103680764975,0.0011305100343839,0.000840488633970468,1,1
lv_winding_grounded,single_steep_pulse,2500,74000,2487.61321867943,74481.543020819,2752.51703517019,NaN,10.6489149720545,NaN,10.1006814068076,NaN,0.000165682473494672,8.31906799719184e-08,0.991014120667522,0
lv_winding_grounded,conventional_20k_pwm,2500,74000,2487.61321867943,74481.543020819,NaN,79078.4610122084,NaN,6.17188877263785,NaN,6.86278515163297,5.74095450205645e-08,0.000107610318703964,0,0.0511811023622047
lv_winding_grounded,random_prbs,2500,74000,2487.61321867943,74481.543020819,2436.76724262132,74481.543020819,-2.04396630779683,0,-2.52931029514717,0.650733811917618,0.460268212401543,0.198765210335487,1,1
lv_winding_grounded,targeted_binary_pwm,2500,74000,2487.61321867943,74481.543020819,2309.37865182859,74481.543020819,-7.16488260765298,0,-7.62485392685641,0.650733811917618,0.00342782052984631,3.14906396582533e-05,1,1
lv_winding_grounded,dual_window_targeted,2500,74000,2487.61321867943,74481.543020819,2455.1124021074,74489.9567237661,-1.30650602464967,0.0112963596158207,-1.79550391570399,0.662103680764975,0.00113333276898299,0.000783943081828744,1,1
hv_winding_grounded,single_steep_pulse,2000,60000,1990.30543374711,59714.8600553312,2040.24488799868,NaN,2.50913520130211,NaN,2.01224439993418,NaN,0.000165684365076923,8.31607110853182e-08,0.991014120667522,0
hv_winding_grounded,conventional_20k_pwm,2000,60000,1990.30543374711,59714.8600553312,NaN,59346.0442991562,NaN,-0.617628101000908,NaN,-1.08992616807307,5.74581306539372e-08,0.000107609127517254,0,0.0511811023622047
hv_winding_grounded,random_prbs,2000,60000,1990.30543374711,59714.8600553312,1933.58557454097,59714.8600553312,-2.84980678062808,0,-3.32072127295138,-0.475233241114583,0.389260254538543,0.174053400068729,1,1
hv_winding_grounded,targeted_binary_pwm,2000,60000,1990.30543374711,59714.8600553312,2104.43497243326,59714.8600553312,5.73427257701277,0,5.2217486216631,-0.475233241114583,0.00342506503582086,3.05608268273151e-05,1,1
hv_winding_grounded,dual_window_targeted,2000,60000,1990.30543374711,59714.8600553312,2005.47261454047,59680.5891727197,0.76205292595739,-0.0573908782166036,0.27363072702326,-0.532351378800534,0.00113268905382005,0.000809532639704883,1,1
both_windings_grounded,single_steep_pulse,1800,53000,1798.75729847851,53745.4245269413,1765.63383165342,NaN,-1.841463929186,NaN,-1.90923157480984,NaN,0.000165685040719654,8.32254664291057e-08,0.991014120667522,0
both_windings_grounded,conventional_20k_pwm,1800,53000,1798.75729847851,53745.4245269413,NaN,58736.4064426252,NaN,9.28633825039771,NaN,10.8234083823118,5.74121920868117e-08,0.000107610662509952,0,0.0511811023622047
both_windings_grounded,random_prbs,1800,53000,1798.75729847851,53745.4245269413,1787.6476679343,53745.4245269413,-0.617628101000901,0,-0.686240670316819,1.40646137158729,0.344126481978569,0.14941089639892,1,1
both_windings_grounded,targeted_binary_pwm,1800,53000,1798.75729847851,53745.4245269413,1733.12032152202,53745.4245269413,-3.64901796434718,0,-3.7155376932212,1.40646137158729,0.00342302389673907,3.17596713858341e-05,1,1
both_windings_grounded,dual_window_targeted,1800,53000,1798.75729847851,53745.4245269413,1812.54757168588,53732.1317946434,0.766655580440701,-0.0247327701192527,0.697087315881946,1.38138074461019,0.00113199332742599,0.000784157427290219,1,1
