f_Hz,Z_real,Z_imag,fit_real,fit_imag,relative_error
1000,0.200000006316534,0.0125663205473145,0.200000006316534,0.0125663205473217,3.56487357296203e-14
1015.49501618072,0.200000006513801,0.0127610358938205,0.200000006513801,0.0127610358938171,1.71567812111987e-14
1031.23012788788,0.200000006717227,0.0129587683580683,0.200000006717227,0.0129587683580823,6.97544105388947e-14
1047.20905540554,0.200000006927007,0.0131595646903602,0.200000006927007,0.0131595646903619,8.55216463108629e-15
1063.43557666364,0.200000007143339,0.0133634723653959,0.200000007143339,0.0133634723653984,1.24912536754216e-14
1079.9135281312,0.200000007366426,0.0135705395934967,0.200000007366426,0.0135705395935091,6.15107913814916e-14
1096.64680572337,0.20000000759648,0.0137808153320048,0.20000000759648,0.0137808153320123,3.70202914638177e-14
1113.63936572258,0.200000007833719,0.0139943492968577,0.200000007833719,0.0139943492968584,3.51516830218265e-15
1130.89522571394,0.200000008078367,0.0142111919743429,0.200000008078368,0.0142111919743328,5.01719981441736e-14
1148.41846553507,0.200000008330656,0.0144313946330348,0.200000008330656,0.0144313946330286,3.09972887191393e-14
1166.21322824077,0.200000008590823,0.0146550093359158,0.200000008590823,0.014655009335911,2.3849623411639e-14
1184.28372108253,0.200000008859116,0.0148820889526862,0.200000008859116,0.0148820889526888,1.31245195640516e-14
1202.63421650326,0.200000009135787,0.015112687172264,0.200000009135787,0.0151126871722767,6.30515263836683e-14
1221.26905314746,0.200000009421099,0.0153468585154789,0.200000009421099,0.0153468585154855,3.27077601544184e-14
1240.19263688699,0.200000009715321,0.0155846583479627,0.200000009715321,0.0155846583479686,2.94274376968574e-14
1259.40944186276,0.200000010018732,0.0158261428932398,0.200000010018732,0.015826142893232,3.89106304643775e-14
1278.92401154258,0.200000010331618,0.0160713692460201,0.200000010331618,0.0160713692460135,3.31477981792348e-14
1298.74095979534,0.200000010654276,0.0163203953856982,0.200000010654276,0.016320395385705,3.37853316252493e-14
1318.86497198193,0.20000001098701,0.0165732801900614,0.20000001098701,0.016573280190066,2.26645397728092e-14
1339.30080606297,0.200000011330136,0.016830083449211,0.200000011330136,0.0168300834492143,1.65774060088995e-14
