caseName,fitOrder,meanRelErrTrue,maxRelErrTrue,meanRelErrMeas,maxRelErrMeas,meanRelErrTrueHighFreq,meanRelErrTrueWeightedBand,finalRmse
uniform,6,0.000684463707869959,0.004420928509519,0.00896463933626219,0.0326610121692813,0.000306605524760939,0.000684463707869959,2.34197245884858
pwm_best_tr50ns_fs500k_D03,6,0.00126942723877882,0.0265715549359463,0.00905272754729959,0.0325613893866663,0.00202049729237714,0.00102343095070015,19.8991266989244
pwm_weak_tr500ns_fs50k_D07,6,0.000272716824416634,0.0177324097163019,0.0090027451248097,0.0323181717550342,0.000523827073858552,0.000270567328024426,12.4798975315525
