strategy,K,nominalLambdaMin,priorWorstLambdaMin,priorMeanLambdaMin,priorMeanLogDet
uniform_40,40,2027.67078409282,336.559255852137,6464.65983575344,48.324222060525
random_40,40,208.728448618107,69.0538184000279,297.127363838477,43.5091439022645
nominal_eopt_40,40,6747.04562512411,1371.34624844707,11384.3617860196,48.6892848349249
prior_avg_eopt_40,40,2357.04974675568,497.430353663455,5066.97525870161,49.7141589038206
robust_worst_eopt_40,40,6740.46575036624,1369.64213318197,15900.5961033207,49.8080487077385
band_robust_eopt_40,40,4768.24437592248,838.635225936842,7186.85601363042,48.6916998154649
full_260,260,6910.53828791933,1421.32982692762,100842.392365566,56.325622319531
