graph,method,theta_mae,response_error,seconds
11,GNN direct,0.0782015472650528,0.06503478437662125,0.0
11,physics from zero,0.048562854528427124,0.009988284669816494,2.2040774822235107
11,GNN + physics,0.04857450723648071,0.009987710043787956,1.530480146408081
10,GNN direct,0.07317598909139633,0.052255045622587204,0.0
10,physics from zero,0.05022299662232399,0.010172821581363678,1.612189531326294
10,GNN + physics,0.05021415278315544,0.010172474198043346,1.643193006515503
