epoch,train_loss,val_theta_mae
0,0.009080764430109411,0.08320888563369712
10,0.008700415753992274,0.08093827906996012
20,0.00859994237544015,0.08043284031252067
30,0.008527248573955148,0.08058356232941151
40,0.008580787281971425,0.08088612983313699
50,0.008190264692530036,0.07863842394823829
60,0.008523427706677467,0.08045788211748003
70,0.008981969935121015,0.0811669262436529
80,0.008325138769578189,0.08123751251647869
90,0.008273708546767011,0.08046911147733529
100,0.008360590087249875,0.08086957753015062
110,0.008171817840775475,0.08747008992359043
120,0.00816026097163558,0.08069206839427352
130,0.008453473681584,0.07891944378303985
140,0.008234551874920726,0.08206653223993877
150,0.008308196847792715,0.08476992519572377
160,0.008447090134723112,0.07856488949619234
170,0.007991726248292252,0.09950715384135643
180,0.008110778406262398,0.10264514445637664
190,0.008628017327282578,0.08040401726029814
200,0.008115222561173141,0.08602764108218253
210,0.008083565742708743,0.1026835915632546
220,0.007938981027109548,0.09730782167365154
230,0.00794026762014255,0.09676990080624819
240,0.007973485422553495,0.10101576981445154
250,0.008311320649227127,0.08955367013501624
260,0.007928362698294222,0.09999501431981722
270,0.007957194611662999,0.0988232702948153
280,0.008081142819719389,0.09388279551640152
290,0.007840851496439427,0.09911674919227759
300,0.008946992282290012,0.08397901747375727
310,0.008188505686121061,0.08231566258085271
320,0.008491415035678074,0.08180259947354594
330,0.00841493226471357,0.08089861727009216
340,0.008102252962999046,0.08378487240212659
350,0.007979230169439688,0.09600959677870075
360,0.0080491189728491,0.09858125867322087
370,0.007873627444496378,0.09405506728217006
380,0.007962416857481003,0.09516745520134767
390,0.008139446581481025,0.08947877862180273
400,0.007803930755471811,0.10070001647497216
410,0.007745217968476936,0.10157767236232758
420,0.007940820825751871,0.09588441910843054
430,0.007920995238237083,0.09763515073185165
440,0.0086861468735151,0.09540137069610258
450,0.008036739018280059,0.09922616661836704
460,0.007973716215929016,0.09474471878881256
470,0.007783006643876433,0.1010148636996746
480,0.007775671110721305,0.09411724439511697
490,0.007770594354951754,0.09848288899908463
500,0.007961878000060096,0.09498611182595293
510,0.00806745034060441,0.08814320505286256
520,0.007721276371739805,0.10228317867343624
530,0.007879833865445107,0.09493448588376244
540,0.00790550553938374,0.0926841638982296
550,0.008001188223715872,0.09157873075455428
560,0.0077031878172419965,0.09825471860046188
570,0.007831001508748159,0.09076394299045205
580,0.007848348381230608,0.09680023659020662
590,0.00773766211932525,0.096262532658875
600,0.0077715611550956964,0.09395942489306132
610,0.008010451914742589,0.09037026353180408
620,0.007866605068556964,0.09684453485533595
630,0.007694015570450574,0.094213082951804
640,0.007828253641491756,0.0977565683114032
650,0.008057296072365716,0.09658487538496653
660,0.007716676278505474,0.10103113260120153
670,0.007852840790292248,0.09497291306033731
680,0.0075662290037143975,0.09600938679650425
690,0.008264676405815408,0.08591042333282531
700,0.007754859485430643,0.09305239208042622
710,0.007755364553304389,0.09587162487829724
720,0.008215061388909817,0.09345513433218003
730,0.008330169977853075,0.08294513837123911
740,0.007772511977236718,0.09546033817653855
750,0.007530320610385388,0.09618380321189761
760,0.007597125135362148,0.09542091318095723
770,0.008005215611774474,0.09846728363384803
780,0.007969439117005095,0.0938657699773709
790,0.007643033080967143,0.09595827615509431
799,0.007819646823918447,0.09391241203993558
