method,theta_mae,response_error,seconds
GNN + physics,0.04939433000981808,0.010080092120915651,3.173673152923584
GNN direct,0.07568876817822456,0.058644914999604225,0.0
physics from zero,0.04939292557537556,0.010080553125590086,3.8162670135498047
