node,P1,P2,P3,P4,S1,S2,S3,S4
P1,8.803145072824803e-08,7.061853581861053e-08,5.729007600412816e-08,4.775427284500758e-08,5.058536887067766e-08,4.756590392305213e-08,4.277103171092817e-08,3.748641213336188e-08
P2,7.061853581861053e-08,8.920277893211834e-08,7.118869010174994e-08,5.729005692842144e-08,5.128039593581908e-08,5.135216495367096e-08,4.782748296665781e-08,4.253028705479808e-08
P3,5.729007600412816e-08,7.118869010174994e-08,8.920280430516498e-08,7.061847600031054e-08,4.823073312542183e-08,5.150988024466049e-08,5.107886748945435e-08,4.705126160358728e-08
P4,4.775427284500758e-08,5.729005692842144e-08,7.061847600031054e-08,8.802633898030835e-08,4.321909012902971e-08,4.792542023970799e-08,5.069915300522008e-08,4.975955679439418e-08
S1,5.058536887067766e-08,5.128039593581908e-08,4.823073312542183e-08,4.321909012902971e-08,8.171115051659257e-08,6.152096332828767e-08,4.844019923977692e-08,4.035207583554359e-08
S2,4.756590392305213e-08,5.135216495367096e-08,5.150988024466049e-08,4.792542023970799e-08,6.152096332828767e-08,8.218225230120750e-08,6.147961476571026e-08,4.792225041477506e-08
S3,4.277103171092817e-08,4.782748296665781e-08,5.107886748945435e-08,5.069915300522008e-08,4.844019923977692e-08,6.147961476571026e-08,8.166285659771822e-08,6.048094285728963e-08
S4,3.748641213336188e-08,4.253028705479808e-08,4.705126160358728e-08,4.975955679439418e-08,4.035207583554359e-08,4.792225041477506e-08,6.048094285728963e-08,8.014527934106548e-08
